invoice_acct_id,date,account,description,amount,type,department,vendor,payment_method
ACT-10020,2023-07-28,Payroll,Employee Wages,46021.06,Debit,Admin,ADP Services,ACH
ACT-10021,2023-08-01,Rent Expense,Monthly Store Lease,12000.0,Debit,Operations,RealEstate Holdings,ACH
ACT-10022,2023-08-15,Payroll,Employee Wages,49794.42,Debit,Admin,ADP Services,ACH
ACT-10023,2023-08-28,Payroll,Employee Wages,51644.06,Debit,Admin,ADP Services,ACH
ACT-10024,2023-09-01,Rent Expense,Monthly Store Lease,12000.0,Debit,Operations,RealEstate Holdings,ACH
ACT-10025,2023-09-15,Payroll,Employee Wages,49985.79,Debit,Admin,ADP Services,ACH
ACT-10026,2023-09-28,Payroll,Employee Wages,50959.02,Debit,Admin,ADP Services,ACH
ACT-10027,2023-10-01,Rent Expense,Monthly Store Lease,12000.0,Debit,Operations,RealEstate Holdings,ACH
ACT-10028,2023-10-15,Payroll,Employee Wages,45560.65,Debit,Admin,ADP Services,ACH
ACT-10029,2023-10-28,Payroll,Employee Wages,46281.24,Debit,Admin,ADP Services,ACH
ACT-10030,2023-11-01,Rent Expense,Monthly Store Lease,12000.0,Debit,Operations,RealEstate Holdings,ACH
ACT-10031,2023-11-15,Payroll,Employee Wages,46022.47,Debit,Admin,ADP Services,ACH
ACT-10032,2023-11-28,Payroll,Employee Wages,46052.54,Debit,Admin,ADP Services,ACH
ACT-10033,2023-12-01,Rent Expense,Monthly Store Lease,12000.0,Debit,Operations,RealEstate Holdings,ACH
ACT-10034,2023-12-15,Payroll,Employee Wages,46488.11,Debit,Admin,ADP Services,ACH
ACT-10035,2023-12-28,Payroll,Employee Wages,46260.34,Debit,Admin,ADP Services,ACH
ACT-10036,2024-01-01,Rent Expense,Monthly Store Lease,12000.0,Debit,Operations,RealEstate Holdings,ACH
ACT-10037,2024-01-15,Payroll,Employee Wages,51883.21,Debit,Admin,ADP Services,ACH
ACT-10038,2024-01-28,Payroll,Employee Wages,45974.22,Debit,Admin,ADP Services,ACH
ACT-10039,2024-02-01,Rent Expense,Monthly Store Lease,12000.0,Debit,Operations,RealEstate Holdings,ACH
ACT-10040,2024-02-15,Payroll,Employee Wages,51762.25,Debit,Admin,ADP Services,ACH
ACT-10041,2024-02-28,Payroll,Employee Wages,49393.25,Debit,Admin,ADP Services,ACH
ACT-10042,2024-03-01,Rent Expense,Monthly Store Lease,12000.0,Debit,Operations,RealEstate Holdings,ACH
ACT-10043,2024-03-15,Payroll,Employee Wages,51910.21,Debit,Admin,ADP Services,ACH
ACT-10044,2024-03-28,Payroll,Employee Wages,47331.31,Debit,Admin,ADP Services,ACH
ACT-10045,2024-04-01,Rent Expense,Monthly Store Lease,12000.0,Debit,Operations,RealEstate Holdings,ACH
ACT-10046,2024-04-15,Payroll,Employee Wages,48621.02,Debit,Admin,ADP Services,ACH
ACT-10047,2024-04-28,Payroll,Employee Wages,46885.0,Debit,Admin,ADP Services,ACH
ACT-10048,2024-05-01,Rent Expense,Monthly Store Lease,12000.0,Debit,Operations,RealEstate Holdings,ACH
ACT-10049,2024-05-15,Payroll,Employee Wages,48148.83,Debit,Admin,ADP Services,ACH
ACT-10050,2024-05-28,Payroll,Employee Wages,50989.35,Debit,Admin,ADP Services,ACH
ACT-10051,2024-06-01,Rent Expense,Monthly Store Lease,12000.0,Debit,Operations,RealEstate Holdings,ACH
ACT-10052,2024-06-15,Payroll,Employee Wages,45532.94,Debit,Admin,ADP Services,ACH
ACT-10053,2024-06-28,Payroll,Employee Wages,45846.64,Debit,Admin,ADP Services,ACH
ACT-10054,2024-07-01,Rent Expense,Monthly Store Lease,12000.0,Debit,Operations,RealEstate Holdings,ACH
ACT-10055,2024-07-15,Payroll,Employee Wages,51945.91,Debit,Admin,ADP Services,ACH
ACT-10056,2024-07-28,Payroll,Employee Wages,47848.65,Debit,Admin,ADP Services,ACH
ACT-10057,2024-08-01,Rent Expense,Monthly Store Lease,12000.0,Debit,Operations,RealEstate Holdings,ACH
ACT-10058,2024-08-15,Payroll,Employee Wages,50893.6,Debit,Admin,ADP Services,ACH
ACT-10059,2024-08-28,Payroll,Employee Wages,50983.0,Debit,Admin,ADP Services,ACH
ACT-10060,2024-09-01,Rent Expense,Monthly Store Lease,12000.0,Debit,Operations,RealEstate Holdings,ACH
ACT-10061,2024-09-15,Payroll,Employee Wages,48285.28,Debit,Admin,ADP Services,ACH
ACT-10062,2024-09-28,Payroll,Employee Wages,46504.83,Debit,Admin,ADP Services,ACH
ACT-10063,2024-10-01,Rent Expense,Monthly Store Lease,12000.0,Debit,Operations,RealEstate Holdings,ACH
ACT-10064,2024-10-15,Payroll,Employee Wages,51140.11,Debit,Admin,ADP Services,ACH
ACT-10065,2024-10-28,Payroll,Employee Wages,46437.89,Debit,Admin,ADP Services,ACH
ACT-10066,2024-11-01,Rent Expense,Monthly Store Lease,12000.0,Debit,Operations,RealEstate Holdings,ACH
ACT-10067,2024-11-15,Payroll,Employee Wages,49224.35,Debit,Admin,ADP Services,ACH
ACT-10068,2024-11-28,Payroll,Employee Wages,49997.73,Debit,Admin,ADP Services,ACH
ACT-10069,2024-12-01,Rent Expense,Monthly Store Lease,12000.0,Debit,Operations,RealEstate Holdings,ACH
ACT-10070,2024-12-15,Payroll,Employee Wages,47052.68,Debit,Admin,ADP Services,ACH
ACT-10071,2024-12-28,Payroll,Employee Wages,50236.44,Debit,Admin,ADP Services,ACH
ACT-10072,2025-01-01,Rent Expense,Monthly Store Lease,12000.0,Debit,Operations,RealEstate Holdings,ACH
ACT-10073,2025-01-15,Payroll,Employee Wages,49303.32,Debit,Admin,ADP Services,ACH
ACT-10074,2025-01-28,Payroll,Employee Wages,46064.99,Debit,Admin,ADP Services,ACH
ACT-10075,2025-02-01,Rent Expense,Monthly Store Lease,12000.0,Debit,Operations,RealEstate Holdings,ACH
ACT-10076,2025-02-15,Payroll,Employee Wages,46001.21,Debit,Admin,ADP Services,ACH
ACT-10077,2025-02-28,Payroll,Employee Wages,45598.44,Debit,Admin,ADP Services,ACH
ACT-10078,2025-03-01,Rent Expense,Monthly Store Lease,12000.0,Debit,Operations,RealEstate Holdings,ACH
ACT-10079,2025-03-15,Payroll,Employee Wages,51940.24,Debit,Admin,ADP Services,ACH
ACT-10080,2025-03-28,Payroll,Employee Wages,51586.63,Debit,Admin,ADP Services,ACH
ACT-10081,2025-04-01,Rent Expense,Monthly Store Lease,12000.0,Debit,Operations,RealEstate Holdings,ACH
ACT-10082,2025-04-15,Payroll,Employee Wages,48059.04,Debit,Admin,ADP Services,ACH
ACT-10083,2025-04-28,Payroll,Employee Wages,51391.83,Debit,Admin,ADP Services,ACH
ACT-10084,2025-05-01,Rent Expense,Monthly Store Lease,12000.0,Debit,Operations,RealEstate Holdings,ACH
ACT-10085,2025-05-15,Payroll,Employee Wages,46622.74,Debit,Admin,ADP Services,ACH
ACT-10086,2025-05-28,Payroll,Employee Wages,47235.0,Debit,Admin,ADP Services,ACH
ACT-10087,2025-06-01,Rent Expense,Monthly Store Lease,12000.0,Debit,Operations,RealEstate Holdings,ACH
ACT-10088,2025-06-15,Payroll,Employee Wages,49509.14,Debit,Admin,ADP Services,ACH
ACT-10089,2025-06-28,Payroll,Employee Wages,45653.66,Debit,Admin,ADP Services,ACH
ACT-10090,2025-07-01,Rent Expense,Monthly Store Lease,12000.0,Debit,Operations,RealEstate Holdings,ACH
ACT-10091,2025-07-15,Payroll,Employee Wages,50559.62,Debit,Admin,ADP Services,ACH
ACT-10092,2025-07-28,Payroll,Employee Wages,46454.16,Debit,Admin,ADP Services,ACH
ACT-10093,2025-08-01,Rent Expense,Monthly Store Lease,12000.0,Debit,Operations,RealEstate Holdings,ACH
ACT-10094,2025-08-15,Payroll,Employee Wages,48899.68,Debit,Admin,ADP Services,ACH
ACT-10095,2025-08-28,Payroll,Employee Wages,45890.33,Debit,Admin,ADP Services,ACH
ACT-10096,2025-09-01,Rent Expense,Monthly Store Lease,12000.0,Debit,Operations,RealEstate Holdings,ACH
ACT-10097,2025-09-15,Payroll,Employee Wages,51758.88,Debit,Admin,ADP Services,ACH
ACT-10098,2025-09-28,Payroll,Employee Wages,46580.06,Debit,Admin,ADP Services,ACH
ACT-10099,2025-10-01,Rent Expense,Monthly Store Lease,12000.0,Debit,Operations,RealEstate Holdings,ACH
ACT-10100,2025-10-15,Payroll,Employee Wages,50436.4,Debit,Admin,ADP Services,ACH
ACT-10101,2025-10-28,Payroll,Employee Wages,51510.27,Debit,Admin,ADP Services,ACH
ACT-10102,2025-11-01,Rent Expense,Monthly Store Lease,12000.0,Debit,Operations,RealEstate Holdings,ACH
ACT-10103,2025-11-15,Payroll,Employee Wages,47093.97,Debit,Admin,ADP Services,ACH
ACT-10104,2025-11-28,Payroll,Employee Wages,51690.08,Debit,Admin,ADP Services,ACH
ACT-10105,2025-12-01,Rent Expense,Monthly Store Lease,12000.0,Debit,Operations,RealEstate Holdings,ACH
ACT-10106,2025-12-15,Payroll,Employee Wages,49819.55,Debit,Admin,ADP Services,ACH
ACT-10107,2025-12-28,Payroll,Employee Wages,46668.61,Debit,Admin,ADP Services,ACH
ACT-10108,2023-04-10,Marketing,Ad Campaign - Seasonal Spike,12389.71,Debit,Marketing,Google/Meta Ads,Credit Card
ACT-10109,2023-04-16,Marketing,Ad Campaign - Seasonal Spike,12275.94,Debit,Marketing,Google/Meta Ads,Credit Card
ACT-10110,2023-04-02,Marketing,Ad Campaign - Seasonal Spike,13721.48,Debit,Marketing,Google/Meta Ads,Credit Card
ACT-10111,2023-04-17,Marketing,Ad Campaign - Seasonal Spike,9312.43,Debit,Marketing,Google/Meta Ads,Credit Card
ACT-10112,2023-04-16,Marketing,Ad Campaign - Seasonal Spike,10346.05,Debit,Marketing,Google/Meta Ads,Credit Card
ACT-10113,2023-04-12,Marketing,Ad Campaign - Seasonal Spike,12887.8,Debit,Marketing,Google/Meta Ads,Credit Card
ACT-10114,2023-04-14,Marketing,Ad Campaign - Seasonal Spike,10825.11,Debit,Marketing,Google/Meta Ads,Credit Card
ACT-10115,2023-04-22,Marketing,Ad Campaign - Seasonal Spike,9732.62,Debit,Marketing,Google/Meta Ads,Credit Card
ACT-10116,2023-10-20,Marketing,Ad Campaign - Seasonal Spike,12736.2,Debit,Marketing,Google/Meta Ads,Credit Card
ACT-10117,2023-10-26,Marketing,Ad Campaign - Seasonal Spike,9679.47,Debit,Marketing,Google/Meta Ads,Credit Card
ACT-10118,2023-10-24,Marketing,Ad Campaign - Seasonal Spike,11754.02,Debit,Marketing,Google/Meta Ads,Credit Card
ACT-10119,2023-10-04,Marketing,Ad Campaign - Seasonal Spike,11655.25,Debit,Marketing,Google/Meta Ads,Credit Card
ACT-10120,2023-10-12,Marketing,Ad Campaign - Seasonal Spike,10951.96,Debit,Marketing,Google/Meta Ads,Credit Card
ACT-10121,2023-10-10,Marketing,Ad Campaign - Seasonal Spike,13903.17,Debit,Marketing,Google/Meta Ads,Credit Card
ACT-10122,2023-10-23,Marketing,Ad Campaign - Seasonal Spike,14421.41,Debit,Marketing,Google/Meta Ads,Credit Card
ACT-10123,2023-10-13,Marketing,Ad Campaign - Seasonal Spike,11640.07,Debit,Marketing,Google/Meta Ads,Credit Card
ACT-10124,2024-04-27,Marketing,Ad Campaign - Seasonal Spike,12957.96,Debit,Marketing,Google/Meta Ads,Credit Card
ACT-10125,2024-04-10,Marketing,Ad Campaign - Seasonal Spike,9614.4,Debit,Marketing,Google/Meta Ads,Credit Card
ACT-10126,2024-04-21,Marketing,Ad Campaign - Seasonal Spike,8816.28,Debit,Marketing,Google/Meta Ads,Credit Card
ACT-10127,2024-04-09,Marketing,Ad Campaign - Seasonal Spike,13443.46,Debit,Marketing,Google/Meta Ads,Credit Card
ACT-10128,2024-04-21,Marketing,Ad Campaign - Seasonal Spike,8585.51,Debit,Marketing,Google/Meta Ads,Credit Card
ACT-10129,2024-04-10,Marketing,Ad Campaign - Seasonal Spike,8483.52,Debit,Marketing,Google/Meta Ads,Credit Card
ACT-10130,2024-04-15,Marketing,Ad Campaign - Seasonal Spike,11167.83,Debit,Marketing,Google/Meta Ads,Credit Card
ACT-10131,2024-04-11,Marketing,Ad Campaign - Seasonal Spike,9686.48,Debit,Marketing,Google/Meta Ads,Credit Card
ACT-10132,2024-10-06,Marketing,Ad Campaign - Seasonal Spike,13496.84,Debit,Marketing,Google/Meta Ads,Credit Card
ACT-10133,2024-10-18,Marketing,Ad Campaign - Seasonal Spike,9538.67,Debit,Marketing,Google/Meta Ads,Credit Card
ACT-10134,2024-10-02,Marketing,Ad Campaign - Seasonal Spike,9054.01,Debit,Marketing,Google/Meta Ads,Credit Card
ACT-10135,2024-10-06,Marketing,Ad Campaign - Seasonal Spike,9634.36,Debit,Marketing,Google/Meta Ads,Credit Card
ACT-10136,2024-10-25,Marketing,Ad Campaign - Seasonal Spike,12903.82,Debit,Marketing,Google/Meta Ads,Credit Card
ACT-10137,2024-10-27,Marketing,Ad Campaign - Seasonal Spike,8197.9,Debit,Marketing,Google/Meta Ads,Credit Card
ACT-10138,2024-10-16,Marketing,Ad Campaign - Seasonal Spike,13462.51,Debit,Marketing,Google/Meta Ads,Credit Card
ACT-10139,2024-10-05,Marketing,Ad Campaign - Seasonal Spike,8169.58,Debit,Marketing,Google/Meta Ads,Credit Card
ACT-10140,2025-04-28,Marketing,Ad Campaign - Seasonal Spike,11678.72,Debit,Marketing,Google/Meta Ads,Credit Card
ACT-10141,2025-04-07,Marketing,Ad Campaign - Seasonal Spike,11017.77,Debit,Marketing,Google/Meta Ads,Credit Card
ACT-10142,2025-04-10,Marketing,Ad Campaign - Seasonal Spike,10204.6,Debit,Marketing,Google/Meta Ads,Credit Card
ACT-10143,2025-04-22,Marketing,Ad Campaign - Seasonal Spike,10023.0,Debit,Marketing,Google/Meta Ads,Credit Card
ACT-10144,2025-04-02,Marketing,Ad Campaign - Seasonal Spike,13297.67,Debit,Marketing,Google/Meta Ads,Credit Card
ACT-10145,2025-04-12,Marketing,Ad Campaign - Seasonal Spike,12098.77,Debit,Marketing,Google/Meta Ads,Credit Card
ACT-10146,2025-04-17,Marketing,Ad Campaign - Seasonal Spike,14880.09,Debit,Marketing,Google/Meta Ads,Credit Card
ACT-10147,2025-04-20,Marketing,Ad Campaign - Seasonal Spike,12500.53,Debit,Marketing,Google/Meta Ads,Credit Card
ACT-10148,2025-10-02,Marketing,Ad Campaign - Seasonal Spike,13066.52,Debit,Marketing,Google/Meta Ads,Credit Card
ACT-10149,2025-10-25,Marketing,Ad Campaign - Seasonal Spike,13868.35,Debit,Marketing,Google/Meta Ads,Credit Card
ACT-10150,2025-10-14,Marketing,Ad Campaign - Seasonal Spike,10278.77,Debit,Marketing,Google/Meta Ads,Credit Card
ACT-10151,2025-10-03,Marketing,Ad Campaign - Seasonal Spike,13490.7,Debit,Marketing,Google/Meta Ads,Credit Card
ACT-10152,2025-10-07,Marketing,Ad Campaign - Seasonal Spike,12316.11,Debit,Marketing,Google/Meta Ads,Credit Card
ACT-10153,2025-10-26,Marketing,Ad Campaign - Seasonal Spike,13885.87,Debit,Marketing,Google/Meta Ads,Credit Card
ACT-10154,2025-10-13,Marketing,Ad Campaign - Seasonal Spike,13543.69,Debit,Marketing,Google/Meta Ads,Credit Card
ACT-10155,2025-10-21,Marketing,Ad Campaign - Seasonal Spike,13263.24,Debit,Marketing,Google/Meta Ads,Credit Card
ACT-10156,2025-05-07,Revenue,Daily Sales Deposit,11486.48,Credit,Sales,Customer Payments,Check
ACT-10157,2024-11-07,Revenue,Daily Sales Deposit,16672.1,Credit,Sales,Customer Payments,ACH
ACT-10158,2024-11-24,Revenue,Daily Sales Deposit,9306.31,Credit,Sales,Customer Payments,ACH
ACT-10159,2024-11-24,Revenue,Daily Sales Deposit,9306.31,Credit,Sales,Customer Payments,ACH
ACT-10160,2025-06-20,Revenue,Daily Sales Deposit,24076.02,Credit,Sales,Customer Payments,Check
ACT-10161,2024-10-20,Revenue,Daily Sales Deposit,12894.97,Credit,Sales,Customer Payments,Credit Card
ACT-10162,2023-09-30,Inventory Purchase,General Inventory Purchase entry,435.26,Debit,Sales,Various Wholesale,Credit Card
ACT-10163,2023-08-02,Revenue,Daily Sales Deposit,23892.14,Credit,Sales,Customer Payments,Credit Card
ACT-10164,2023-08-29,Inventory Purchase,General Inventory Purchase entry,6939.47,Debit,Sales,Various Wholesale,Credit Card
ACT-10165,2023-07-02,Revenue,Daily Sales Deposit,5098.66,Credit,Sales,Customer Payments,Credit Card
ACT-10166,2023-08-08,Revenue,Daily Sales Deposit,16859.32,Credit,Sales,Customer Payments,ACH
ACT-10167,2024-12-07,Office Supplies,General Office Supplies entry,4531.45,Debit,Sales,Staples Business,Credit Card
ACT-10168,2023-08-06,Inventory Purchase,General Inventory Purchase entry,2790.79,Debit,Marketing,Various Wholesale,Check
ACT-10169,2024-10-15,Office Supplies,General Office Supplies entry,7917.69,Debit,Marketing,Staples Business,ACH
ACT-10170,2023-04-11,Utilities,General Utilities entry,2777.98,Debit,Sales,City Power & Water,ACH
ACT-10171,2023-08-14,Inventory Purchase,General Inventory Purchase entry,819.27,Debit,Operations,Various Wholesale,Credit Card
ACT-10172,2024-11-29,Revenue,Daily Sales Deposit,8302.0,Credit,Sales,Customer Payments,Credit Card
ACT-10173,2023-12-15,Utilities,General Utilities entry,703.12,Debit,Admin,City Power & Water,ACH
ACT-10174,2023-09-11,Revenue,Daily Sales Deposit,7627.25,Credit,Sales,Customer Payments,ACH
ACT-10175,2025-07-28,Inventory Purchase,General Inventory Purchase entry,933.17,Debit,Warehouse,Various Wholesale,Check
ACT-10176,2025-10-03,Revenue,Daily Sales Deposit,9352.71,Credit,Sales,Customer Payments,ACH
ACT-10177,2023-10-05,Office Supplies,General Office Supplies entry,7725.78,Debit,Operations,Staples Business,Credit Card
ACT-10178,2025-08-22,Office Supplies,General Office Supplies entry,2778.92,Debit,Sales,Staples Business,Check
ACT-10179,2024-10-08,Office Supplies,General Office Supplies entry,4851.92,Debit,Admin,Staples Business,ACH
ACT-10180,2023-07-16,Revenue,Daily Sales Deposit,5059.54,Credit,Sales,Customer Payments,Credit Card
ACT-10181,2023-12-14,Utilities,General Utilities entry,2165.47,Debit,Warehouse,City Power & Water,ACH
ACT-10182,2025-11-09,Inventory Purchase,General Inventory Purchase entry,3055.66,Debit,Warehouse,Various Wholesale,ACH
ACT-10183,2025-04-30,Revenue,Daily Sales Deposit,21615.18,Credit,Sales,Customer Payments,Credit Card
ACT-10184,2024-03-25,Revenue,Daily Sales Deposit,24161.1,Credit,Sales,Customer Payments,Credit Card
ACT-10185,2023-07-13,Utilities,General Utilities entry,1966.27,Debit,Warehouse,City Power & Water,Check
ACT-10186,2023-12-26,Office Supplies,General Office Supplies entry,5826.67,Debit,Admin,Staples Business,Check
ACT-10187,2024-04-02,Revenue,Daily Sales Deposit,15186.27,Credit,Sales,Customer Payments,Credit Card
ACT-10188,2023-10-02,Inventory Purchase,General Inventory Purchase entry,2581.86,Debit,Marketing,Various Wholesale,Credit Card
ACT-10189,2025-08-27,Revenue,Daily Sales Deposit,5564.34,Credit,Sales,Customer Payments,ACH
ACT-10190,2023-05-20,Revenue,Daily Sales Deposit,15371.37,Credit,Sales,Customer Payments,ACH
ACT-10191,2023-05-18,Revenue,Daily Sales Deposit,21222.5,Credit,Sales,Customer Payments,Credit Card
ACT-10192,2023-07-30,Utilities,General Utilities entry,2055.03,Debit,Warehouse,City Power & Water,ACH
ACT-10193,2023-10-09,Inventory Purchase,General Inventory Purchase entry,6782.4,Debit,Operations,Various Wholesale,Check
ACT-10194,2024-10-02,Revenue,Daily Sales Deposit,20091.29,Credit,Sales,Customer Payments,ACH
ACT-10195,2024-09-05,Inventory Purchase,General Inventory Purchase entry,5136.5,Debit,Sales,Various Wholesale,Check
ACT-10196,2024-05-24,Revenue,Daily Sales Deposit,20770.8,Credit,Sales,Customer Payments,ACH
ACT-10197,2025-07-16,Inventory Purchase,General Inventory Purchase entry,4255.91,Debit,Marketing,Various Wholesale,Credit Card
ACT-10198,2024-02-10,Office Supplies,General Office Supplies entry,7279.13,Debit,Admin,Staples Business,Credit Card
ACT-10199,2023-08-14,Inventory Purchase,General Inventory Purchase entry,6269.47,Debit,Sales,Various Wholesale,Check
ACT-10200,2024-12-05,Revenue,Daily Sales Deposit,15076.54,Credit,Sales,Customer Payments,ACH
ACT-10201,2025-05-23,Office Supplies,General Office Supplies entry,7070.82,Debit,Marketing,Staples Business,ACH
ACT-10202,2024-11-03,Revenue,Daily Sales Deposit,6094.13,Credit,Sales,Customer Payments,ACH
ACT-10203,2025-07-04,Inventory Purchase,General Inventory Purchase entry,6826.61,Debit,Warehouse,Various Wholesale,Credit Card
ACT-10204,2025-10-11,Utilities,General Utilities entry,6370.78,Debit,Sales,City Power & Water,Check
ACT-10205,2024-01-22,Office Supplies,General Office Supplies entry,2520.97,Debit,Operations,Staples Business,Check
ACT-10206,2024-04-18,Inventory Purchase,General Inventory Purchase entry,2532.33,Debit,Operations,Various Wholesale,Check
ACT-10207,2023-12-12,Office Supplies,General Office Supplies entry,2864.26,Debit,Marketing,Staples Business,Credit Card
ACT-10208,2024-10-22,Utilities,General Utilities entry,5053.35,Debit,Marketing,City Power & Water,ACH
ACT-10209,2024-07-16,Revenue,Daily Sales Deposit,24646.65,Credit,Sales,Customer Payments,Check
ACT-10210,2023-11-18,Office Supplies,General Office Supplies entry,4840.26,Debit,Warehouse,Staples Business,Check
ACT-10211,2025-08-03,Utilities,General Utilities entry,7902.36,Debit,Operations,City Power & Water,Check
ACT-10212,2023-02-11,Revenue,Daily Sales Deposit,19310.97,Credit,Sales,Customer Payments,Check
ACT-10213,2024-02-06,Utilities,General Utilities entry,7195.5,Debit,Operations,City Power & Water,ACH
ACT-10214,2024-03-14,Utilities,General Utilities entry,7144.4,Debit,Marketing,City Power & Water,ACH
ACT-10215,2023-12-17,Office Supplies,General Office Supplies entry,6494.68,Debit,Admin,Staples Business,Credit Card
ACT-10216,2023-09-11,Inventory Purchase,General Inventory Purchase entry,3257.27,Debit,Warehouse,Various Wholesale,ACH
ACT-10217,2023-03-28,Revenue,Daily Sales Deposit,14842.15,Credit,Sales,Customer Payments,ACH
ACT-10218,2024-09-26,Office Supplies,General Office Supplies entry,787.99,Debit,Admin,Staples Business,Credit Card
ACT-10219,2024-04-13,Revenue,Daily Sales Deposit,12393.06,Credit,Sales,Customer Payments,Check
ACT-10220,2025-06-08,Utilities,General Utilities entry,2380.39,Debit,Sales,City Power & Water,Check
ACT-10221,2025-09-02,Utilities,General Utilities entry,982.69,Debit,Warehouse,City Power & Water,Credit Card
ACT-10222,2023-12-26,Utilities,General Utilities entry,7068.65,Debit,Operations,City Power & Water,Check
ACT-10223,2024-09-23,Revenue,Daily Sales Deposit,7358.62,Credit,Sales,Customer Payments,Credit Card
ACT-10224,2024-05-24,Inventory Purchase,General Inventory Purchase entry,3871.42,Debit,Operations,Various Wholesale,Credit Card
ACT-10225,2023-12-03,Utilities,General Utilities entry,3778.5,Debit,Operations,City Power & Water,ACH
ACT-10226,2024-11-24,Revenue,Daily Sales Deposit,16021.29,Credit,Sales,Customer Payments,ACH
ACT-10227,2025-06-04,Revenue,Daily Sales Deposit,13933.61,Credit,Sales,Customer Payments,Check
ACT-10228,2023-02-25,Utilities,General Utilities entry,4360.53,Debit,Warehouse,City Power & Water,Credit Card
ACT-10229,2025-05-01,Revenue,Daily Sales Deposit,15112.05,Credit,Sales,Customer Payments,ACH
ACT-10230,2025-11-22,Inventory Purchase,General Inventory Purchase entry,6501.57,Debit,Sales,Various Wholesale,Credit Card
ACT-10231,2025-02-11,Inventory Purchase,General Inventory Purchase entry,6613.52,Debit,Operations,Various Wholesale,Check
ACT-10232,2023-07-18,Inventory Purchase,General Inventory Purchase entry,3010.64,Debit,Operations,Various Wholesale,ACH
ACT-10233,2024-03-03,Utilities,General Utilities entry,1094.82,Debit,Warehouse,City Power & Water,Credit Card
ACT-10234,2023-05-23,Utilities,General Utilities entry,2639.34,Debit,Sales,City Power & Water,Check
ACT-10235,2024-01-29,Utilities,General Utilities entry,2144.72,Debit,Admin,City Power & Water,ACH
ACT-10236,2025-05-28,Revenue,Daily Sales Deposit,5854.1,Credit,Sales,Customer Payments,ACH
ACT-10237,2024-05-20,Inventory Purchase,General Inventory Purchase entry,5584.99,Debit,Marketing,Various Wholesale,Check
ACT-10238,2024-01-30,Office Supplies,General Office Supplies entry,1688.94,Debit,Warehouse,Staples Business,Credit Card
ACT-10239,2023-07-03,Office Supplies,General Office Supplies entry,3592.79,Debit,Admin,Staples Business,Check
ACT-10240,2023-07-27,Inventory Purchase,General Inventory Purchase entry,5138.45,Debit,Marketing,Various Wholesale,Credit Card
ACT-10241,2024-02-17,Office Supplies,General Office Supplies entry,1256.01,Debit,Marketing,Staples Business,Check
ACT-10242,2025-10-15,Revenue,Daily Sales Deposit,7975.68,Credit,Sales,Customer Payments,Check
ACT-10243,2023-08-11,Office Supplies,General Office Supplies entry,5099.14,Debit,Sales,Staples Business,ACH
ACT-10244,2025-02-03,Office Supplies,General Office Supplies entry,7121.44,Debit,Sales,Staples Business,Check
ACT-10245,2024-12-03,Office Supplies,General Office Supplies entry,2324.91,Debit,Warehouse,Staples Business,Credit Card
ACT-10246,2023-02-17,Inventory Purchase,General Inventory Purchase entry,3299.64,Debit,Admin,Various Wholesale,ACH
ACT-10247,2025-09-01,Inventory Purchase,General Inventory Purchase entry,2558.16,Debit,Sales,Various Wholesale,Credit Card
