product_id,product_name,category,supplier_id,unit_cost,current_stock,reorder_level,reorder_quantity,warehouse_location,unit_price
PROD-6064,Milorganite Slow-Release Nitrogen Fertilizer 32 lb.,Garden & Outdoors,SUPP-15,13.96,78,20,40,Mi-WH1,17.98
PROD-6065,Preen Garden Weed Preventer 16 lb.,Garden & Outdoors,SUPP-01,22.21,156,28,56,We-WH2,29.98
PROD-6066,Earthgro Premium Black Mulch 2 cu. ft.,Garden & Outdoors,SUPP-06,3.06,72,42,84,Mi-WH2,3.98
PROD-6067,Earthgro Premium Brown Mulch 2 cu. ft.,Garden & Outdoors,SUPP-09,2.88,91,41,82,No-WH1,3.98
PROD-6068,Earthgro Premium Red Mulch 2 cu. ft.,Garden & Outdoors,SUPP-11,3.0,78,30,60,So-WH1,3.98
PROD-6069,Vigoro Bagged Cedar Mulch 2 cu. ft.,Garden & Outdoors,SUPP-15,3.72,123,17,34,No-WH2,4.98
PROD-6070,Kellogg Garden Organics Raised Bed Soil 2 cu. ft.,Garden & Outdoors,SUPP-04,7.16,212,57,114,No-WH2,8.98
PROD-6071,Miracle-Gro Potting Mix 50 qt.,Garden & Outdoors,SUPP-07,12.38,92,28,56,We-WH1,16.98
PROD-6072,Miracle-Gro Garden Soil All Purpose 1 cu. ft.,Garden & Outdoors,SUPP-08,5.32,53,16,32,No-WH1,6.98
PROD-6073,Timberline Top Soil 40 lb.,Garden & Outdoors,SUPP-11,1.93,77,46,92,Mi-WH1,2.48
PROD-6074,Quikrete 50 lb. Play Sand,Garden & Outdoors,SUPP-15,4.73,82,19,38,Mi-WH2,5.98
PROD-6075,Roundup Ready-to-Use Weed & Grass Killer 1 gal.,Garden & Outdoors,SUPP-02,18.1,79,52,104,No-WH1,22.98
PROD-6076,Spectracide Weed & Grass Killer 1 gal.,Garden & Outdoors,SUPP-06,13.38,76,18,36,We-WH1,16.98
PROD-6077,Ortho Home Defense Insect Killer 1.1 gal.,Garden & Outdoors,SUPP-08,14.2,123,40,80,No-WH2,18.98
PROD-6078,Ames 4-Tine Forged Steel Spading Fork,Garden & Outdoors,SUPP-11,23.14,137,25,50,No-WH2,29.98
PROD-6079,Fiskars Long-Handle Digging Shovel,Garden & Outdoors,SUPP-15,26.78,50,23,46,Mi-WH2,34.98
PROD-6080,Razor-Back Square Point Shovel,Garden & Outdoors,SUPP-01,28.93,137,48,96,So-WH2,39.98
PROD-6081,Ames 22-Tine Steel Leaf Rake,Garden & Outdoors,SUPP-05,15.42,80,57,114,We-WH2,19.98
PROD-6082,Fiskars 14-Tine Bow Rake,Garden & Outdoors,SUPP-10,19.81,36,17,34,Mi-WH1,24.98
PROD-6083,True Temper Action Hoe,Garden & Outdoors,SUPP-11,16.08,195,53,106,So-WH1,21.98
PROD-6084,Fiskars Steel Bypass Pruning Shears,Garden & Outdoors,SUPP-15,11.21,112,30,60,No-WH1,14.98
PROD-6085,Corona Forged Bypass Lopper,Garden & Outdoors,SUPP-03,25.16,88,21,42,Mi-WH1,34.98
PROD-6086,Fiskars 28 inch Bypass Lopper,Garden & Outdoors,SUPP-06,21.72,79,23,46,Mi-WH2,29.98
PROD-6087,Flexzilla 5/8 in. x 50 ft. Heavy Duty Garden Hose,Garden & Outdoors,SUPP-09,33.16,156,49,98,No-WH2,44.98
PROD-6088,Apex 5/8 in. x 100 ft. NeverKink Garden Hose,Garden & Outdoors,SUPP-11,43.96,114,32,64,We-WH2,59.98
PROD-6089,Gilmour 5/8 in. x 50 ft. Flexogen Garden Hose,Garden & Outdoors,SUPP-15,25.18,141,51,102,So-WH1,34.98
PROD-6090,Orbit Metal 7-Pattern Hose Nozzle,Garden & Outdoors,SUPP-02,9.73,77,19,38,No-WH1,12.98
PROD-6091,Melnor Zinc Pistol Grip Water Nozzle,Garden & Outdoors,SUPP-05,7.76,214,58,116,So-WH2,9.98
PROD-6092,Orbit Brass Impact Sprinkler on Tripod,Garden & Outdoors,SUPP-08,30.33,97,24,48,We-WH1,39.98
PROD-6093,Melnor Oscillating Sprinkler with Timer,Garden & Outdoors,SUPP-11,19.67,156,46,92,We-WH2,24.98
PROD-6094,Honda 21 in. Self-Propelled Gas Lawn Mower,Garden & Outdoors,SUPP-15,377.16,117,21,42,We-WH1,499.0
PROD-6095,Toro Recycler 22 in. Gas Walk Behind Mower,Garden & Outdoors,SUPP-04,256.17,51,23,46,No-WH1,349.0
PROD-6096,EGO Power+ 21 in. 56V Cordless Lawn Mower,Garden & Outdoors,SUPP-07,398.83,139,54,108,Mi-WH2,499.0
PROD-6097,Ryobi 20 in. 40V Brushless Cordless Mower,Garden & Outdoors,SUPP-10,237.49,114,31,62,So-WH2,299.0
PROD-6098,Echo 21.2cc Gas 2-Stroke String Trimmer,Garden & Outdoors,SUPP-11,147.95,33,21,42,Mi-WH2,199.0
PROD-6099,Stihl FS 38 Gas String Trimmer,Garden & Outdoors,SUPP-15,113.98,125,47,94,No-WH2,149.0
PROD-6100,EGO Power+ 15 in. 56V Cordless String Trimmer,Garden & Outdoors,SUPP-03,138.18,111,27,54,No-WH1,179.0
PROD-6101,Ryobi 40V Cordless String Trimmer,Garden & Outdoors,SUPP-05,108.21,95,41,82,No-WH2,149.0
PROD-6102,Husqvarna 125B 28cc Gas Leaf Blower,Garden & Outdoors,SUPP-09,126.88,73,29,58,Mi-WH1,169.0
PROD-6103,EGO Power+ 650 CFM 56V Cordless Leaf Blower,Garden & Outdoors,SUPP-11,181.93,164,51,102,We-WH2,249.0
PROD-6104,Ryobi ONE+ 18V Cordless Leaf Blower,Garden & Outdoors,SUPP-15,94.21,190,59,118,Mi-WH1,119.0
PROD-6105,Toro Ultra 260 mph Electric Leaf Blower/Vacuum,Garden & Outdoors,SUPP-01,66.2,105,32,64,No-WH2,89.0
PROD-6106,Firm Grip Large Nitrile Coated Work Gloves,Garden & Outdoors,SUPP-07,3.68,47,35,70,Mi-WH2,4.98
PROD-6107,Mechanix Wear Original Work Gloves,Garden & Outdoors,SUPP-08,14.92,182,45,90,So-WH2,19.98
PROD-6108,12 in. Terra Cotta Clay Planter,Garden & Outdoors,SUPP-11,11.51,159,44,88,So-WH2,14.98
PROD-6109,Resin Whiskey Barrel Planter 20 in.,Garden & Outdoors,SUPP-15,19.67,81,42,84,So-WH1,24.98
PROD-6110,Southern Patio 15 in. High-Density Planter,Garden & Outdoors,SUPP-04,15.98,191,47,94,No-WH1,19.98
PROD-6111,Kingsford 16 lb. Original Charcoal Briquettes,Garden & Outdoors,SUPP-06,9.87,188,49,98,Mi-WH2,12.98
PROD-6112,Traeger 20 lb. Signature Blend Wood Pellets,Garden & Outdoors,SUPP-08,15.53,139,28,56,So-WH1,19.98
PROD-6113,Weber 22 in. Original Kettle Charcoal Grill,Garden & Outdoors,SUPP-11,106.66,95,36,72,We-WH1,139.0
PROD-6114,Char-Broil 4-Burner Gas Grill,Garden & Outdoors,SUPP-15,191.79,57,25,50,No-WH2,249.0
PROD-6115,Nexgrill 5-Burner Gas Grill with Side Burner,Garden & Outdoors,SUPP-02,215.64,112,56,112,We-WH2,299.0
PROD-6116,Blue Rhino 15 lb. Propane Tank Exchange,Garden & Outdoors,SUPP-07,17.96,50,18,36,No-WH1,24.98
PROD-6117,Hampton Bay 10 ft. Aluminum Patio Umbrella,Garden & Outdoors,SUPP-10,66.74,25,18,36,No-WH2,89.0
PROD-6118,Suncast 99 Gallon Resin Deck Box,Garden & Outdoors,SUPP-11,107.48,144,36,72,No-WH2,149.0
PROD-6119,Keter Westwood 150 Gallon Resin Deck Box,Garden & Outdoors,SUPP-15,148.73,90,29,58,So-WH1,199.0
PROD-6120,Grip-Rite 1-1/4 in. #6 Coarse Drywall Screws 1 lb.,Hardware,SUPP-01,6.12,188,54,108,We-WH2,7.98
PROD-6121,Grip-Rite 1-5/8 in. #6 Coarse Drywall Screws 1 lb.,Hardware,SUPP-06,6.04,84,19,38,So-WH2,7.98
PROD-6122,Grip-Rite 2 in. #8 Coarse Drywall Screws 1 lb.,Hardware,SUPP-09,6.93,68,59,118,Mi-WH2,8.98
PROD-6123,Spax 2-1/2 in. #8 T-Star Wood Screws 1 lb.,Hardware,SUPP-11,7.2,168,52,104,No-WH1,9.98
PROD-6124,Spax 3 in. #10 T-Star Wood Screws 1 lb.,Hardware,SUPP-15,8.63,166,53,106,No-WH2,11.98
PROD-6125,Deckmate 2-1/2 in. Star Flat-Head Deck Screws 1 lb.,Hardware,SUPP-03,8.34,87,53,106,Mi-WH2,10.98
PROD-6126,Deckmate 3 in. Star Flat-Head Deck Screws 1 lb.,Hardware,SUPP-05,9.46,56,45,90,We-WH1,11.98
PROD-6127,Kreg 1-1/4 in. Coarse Zinc Pocket-Hole Screws 100-Pack,Hardware,SUPP-08,4.76,109,29,58,We-WH2,5.98
PROD-6128,Kreg 2-1/2 in. Coarse Zinc Pocket-Hole Screws 50-Pack,Hardware,SUPP-11,5.01,113,30,60,Mi-WH1,6.98
PROD-6129,Everbilt #10 x 1 in. Phillips Flat Head Wood Screws 12-Pack,Hardware,SUPP-15,1.15,68,60,120,No-WH2,1.48
PROD-6130,Everbilt 1/4 in. x 2 in. Zinc Plated Lag Thread Screw,Hardware,SUPP-02,0.57,116,36,72,We-WH2,0.78
PROD-6131,Everbilt 5/16 in. x 3 in. Zinc Plated Lag Thread Screw,Hardware,SUPP-06,0.7,54,22,44,No-WH2,0.98
PROD-6132,Everbilt 3/8 in. x 4 in. Zinc Plated Lag Thread Screw,Hardware,SUPP-10,1.01,56,25,50,We-WH1,1.28
PROD-6133,Grip-Rite 16D 3-1/2 in. Bright Vinyl Coated Sinkers 1 lb.,Hardware,SUPP-11,3.83,181,45,90,So-WH1,4.98
PROD-6134,Grip-Rite 8D 2-1/2 in. Bright Vinyl Coated Sinkers 1 lb.,Hardware,SUPP-15,3.69,94,43,86,We-WH2,4.98
PROD-6135,Grip-Rite 1-1/2 in. Galvanized Roofing Nails 1 lb.,Hardware,SUPP-04,4.41,37,25,50,Mi-WH2,5.98
PROD-6136,Porter-Cable 2 in. 18-Gauge Brad Nails 1000-Pack,Hardware,SUPP-05,6.12,72,41,82,Mi-WH2,7.98
PROD-6137,Porter-Cable 1-1/4 in. 18-Gauge Brad Nails 1000-Pack,Hardware,SUPP-09,5.26,37,23,46,So-WH1,6.98
PROD-6138,Paslode 3 in. 30-Degree Framing Nails 2000-Pack,Hardware,SUPP-11,38.27,178,44,88,Mi-WH2,49.98
PROD-6139,Everbilt 1/4 in. Zinc-Plated Flat Washer 100-Pack,Hardware,SUPP-15,3.57,121,21,42,So-WH1,4.98
PROD-6140,Everbilt 5/16 in. Zinc-Plated Flat Washer 50-Pack,Hardware,SUPP-03,3.16,132,59,118,So-WH1,3.98
PROD-6141,Everbilt 3/8 in. Zinc-Plated Flat Washer 50-Pack,Hardware,SUPP-07,3.82,153,44,88,We-WH2,4.98
PROD-6142,Everbilt 1/4 in.-20 Zinc-Plated Hex Nut 100-Pack,Hardware,SUPP-08,4.67,85,45,90,Mi-WH2,5.98
PROD-6143,Everbilt 3/8 in.-16 Zinc-Plated Hex Nut 50-Pack,Hardware,SUPP-11,5.22,154,31,62,So-WH2,6.98
PROD-6144,Everbilt 1/4 in.-20 x 1-1/2 in. Zinc-Plated Hex Bolt,Hardware,SUPP-15,0.38,107,59,118,So-WH2,0.48
PROD-6145,Everbilt 3/8 in.-16 x 2 in. Zinc-Plated Hex Bolt,Hardware,SUPP-01,0.69,71,59,118,No-WH1,0.88
PROD-6146,Everbilt 1/2 in.-13 x 3 in. Zinc-Plated Hex Bolt,Hardware,SUPP-05,1.15,126,28,56,We-WH2,1.48
PROD-6147,Simpson Strong-Tie LU24 2x4 Joist Hanger,Hardware,SUPP-08,0.91,52,36,72,No-WH1,1.18
PROD-6148,Simpson Strong-Tie LU26 2x6 Joist Hanger,Hardware,SUPP-11,1.06,82,57,114,Mi-WH1,1.48
PROD-6149,Simpson Strong-Tie LU28 2x8 Joist Hanger,Hardware,SUPP-15,1.31,86,44,88,We-WH2,1.78
PROD-6150,Simpson Strong-Tie A21 2 in. Angle Bracket,Hardware,SUPP-04,0.76,68,42,84,No-WH1,0.98
PROD-6151,Simpson Strong-Tie A23 2 in. x 3 in. Angle Bracket,Hardware,SUPP-07,1.01,193,48,96,So-WH1,1.28
PROD-6152,Everbilt 3 in. x 3 in. Satin Nickel Door Hinge,Hardware,SUPP-10,2.96,172,38,76,So-WH2,3.98
PROD-6153,Everbilt 3-1/2 in. x 3-1/2 in. Matte Black Door Hinge,Hardware,SUPP-11,3.51,151,54,108,So-WH2,4.48
PROD-6154,Everbilt 4 in. x 4 in. Oil-Rubbed Bronze Door Hinge,Hardware,SUPP-15,4.57,116,19,38,We-WH1,5.98
PROD-6155,Defiant Satin Nickel Keyed Entry Door Knob,Hardware,SUPP-02,11.66,108,26,52,Mi-WH2,14.98
PROD-6156,Defiant Satin Nickel Single Cylinder Deadbolt,Hardware,SUPP-06,10.82,53,28,56,No-WH1,14.98
PROD-6157,Schlage Camelot Satin Nickel Keypad Entry with Flex-Lock,Hardware,SUPP-09,95.51,152,54,108,No-WH1,129.0
PROD-6158,Schlage Plymouth Matte Black Passage Door Knob,Hardware,SUPP-11,22.11,174,43,86,Mi-WH1,29.98
PROD-6159,Kwikset Tylo Polished Brass Keyed Entry Door Knob,Hardware,SUPP-15,10.78,112,42,84,So-WH1,13.98
PROD-6160,Kwikset SmartCode 909 Satin Nickel Electronic Deadbolt,Hardware,SUPP-01,77.33,126,28,56,We-WH1,99.0
PROD-6161,Liberty 3 in. Satin Nickel Arch Cabinet Pull,Hardware,SUPP-07,2.74,80,59,118,So-WH2,3.48
PROD-6162,Liberty 1-1/4 in. Satin Nickel Round Cabinet Knob,Hardware,SUPP-08,2.31,151,35,70,So-WH2,2.98
PROD-6163,Liberty 3-3/4 in. Matte Black Bar Cabinet Pull,Hardware,SUPP-11,3.98,54,23,46,We-WH1,4.98
PROD-6164,Richelieu 1-1/8 in. Chrome Square Cabinet Knob,Hardware,SUPP-15,2.97,187,44,88,No-WH2,3.98
PROD-6165,Brainerd 3 in. Bronze Cup Cabinet Pull,Hardware,SUPP-03,3.42,187,47,94,So-WH1,4.48
PROD-6166,E.Z. Ancor Toggle Lock 100 lb. Drywall Anchors 10-Pack,Hardware,SUPP-06,4.99,117,46,92,So-WH2,6.98
PROD-6167,Toggler Snaptoggle 1/4 in. Drywall Anchor 10-Pack,Hardware,SUPP-10,8.66,104,44,88,No-WH1,11.98
PROD-6168,Tapcon 1/4 in. x 2-3/4 in. Hex-Washer-Head Concrete Anchors 75-Pack,Hardware,SUPP-11,18.24,54,31,62,Mi-WH1,24.98
PROD-6169,Tapcon 3/16 in. x 1-3/4 in. Flat-Head Concrete Anchors 75-Pack,Hardware,SUPP-15,14.45,188,46,92,Mi-WH1,19.98
PROD-6170,Master Lock No. 3 Laminated Steel Padlock,Hardware,SUPP-02,7.11,57,34,68,Mi-WH1,8.98
PROD-6171,Master Lock Set-Your-Own Combination Padlock,Hardware,SUPP-05,9.78,108,26,52,Mi-WH2,12.98
PROD-6172,Command Large White Utility Hooks 3-Pack,Hardware,SUPP-09,4.41,198,54,108,Mi-WH2,5.98
PROD-6173,Command Medium Wire Toggle Hooks 6-Pack,Hardware,SUPP-11,5.55,85,15,30,No-WH1,6.98
PROD-6174,National Hardware 4 in. Zinc-Plated Barrel Bolt,Hardware,SUPP-15,3.94,137,32,64,Mi-WH2,4.98
PROD-6175,National Hardware 6 in. Black Heavy Duty T-Hinge,Hardware,SUPP-04,6.85,151,57,114,So-WH2,8.98
PROD-6176,National Hardware 3 in. Zinc-Plated Corner Brace 4-Pack,Hardware,SUPP-06,4.6,100,60,120,So-WH2,5.98
PROD-6177,Everbilt 1/8 in. x 30 ft. Galvanized Wire Rope,Hardware,SUPP-08,7.58,32,15,30,So-WH2,9.98
PROD-6178,Everbilt 1/4 in. x 1 ft. Grade 30 Zinc Plated Chain,Hardware,SUPP-11,1.51,162,53,106,Mi-WH2,1.98
PROD-6179,Hillman 1/4 in. x 3 in. Zinc-Plated Eye Bolt,Hardware,SUPP-15,1.78,90,48,96,So-WH1,2.48
PROD-6180,2 in. x 4 in. x 8 ft. Prime Premium Kiln Dried Whitewood Stud,Lumber,SUPP-03,2.67,77,43,86,So-WH1,3.48
PROD-6181,2 in. x 4 in. x 104-5/8 in. Prime Premium Kiln Dried Whitewood Stud,Lumber,SUPP-05,3.11,117,17,34,We-WH2,3.98
PROD-6182,2 in. x 4 in. x 10 ft. Standard Kiln Dried Whitewood Lumber,Lumber,SUPP-08,3.89,87,17,34,No-WH1,4.98
PROD-6183,2 in. x 4 in. x 12 ft. Standard Kiln Dried Whitewood Lumber,Lumber,SUPP-11,4.65,66,20,40,No-WH1,6.48
PROD-6184,2 in. x 6 in. x 8 ft. #2 Prime Kiln Dried Southern Yellow Pine,Lumber,SUPP-15,4.57,93,39,78,So-WH2,5.98
PROD-6185,2 in. x 6 in. x 10 ft. #2 Prime Kiln Dried Southern Yellow Pine,Lumber,SUPP-01,5.49,39,28,56,Mi-WH2,7.48
PROD-6186,2 in. x 6 in. x 12 ft. #2 Prime Kiln Dried Southern Yellow Pine,Lumber,SUPP-07,6.9,135,57,114,No-WH1,9.48
PROD-6187,2 in. x 8 in. x 8 ft. #2 Prime Kiln Dried Southern Yellow Pine,Lumber,SUPP-10,6.51,191,55,110,Mi-WH2,8.98
PROD-6188,2 in. x 8 in. x 10 ft. #2 Prime Kiln Dried Southern Yellow Pine,Lumber,SUPP-11,8.57,56,31,62,So-WH2,11.48
PROD-6189,2 in. x 8 in. x 12 ft. #2 Prime Kiln Dried Southern Yellow Pine,Lumber,SUPP-15,10.44,173,38,76,We-WH2,13.98
PROD-6190,2 in. x 10 in. x 8 ft. #2 Prime Kiln Dried Southern Yellow Pine,Lumber,SUPP-04,9.51,81,19,38,We-WH2,11.98
PROD-6191,2 in. x 10 in. x 10 ft. #2 Prime Kiln Dried Southern Yellow Pine,Lumber,SUPP-05,11.25,79,25,50,No-WH1,14.98
PROD-6192,2 in. x 10 in. x 12 ft. #2 Prime Kiln Dried Southern Yellow Pine,Lumber,SUPP-09,14.25,56,15,30,No-WH2,18.48
PROD-6193,2 in. x 12 in. x 8 ft. #2 Prime Kiln Dried Southern Yellow Pine,Lumber,SUPP-11,11.89,171,57,114,So-WH1,15.98
PROD-6194,2 in. x 12 in. x 12 ft. #2 Prime Kiln Dried Southern Yellow Pine,Lumber,SUPP-15,18.71,163,59,118,So-WH1,24.98
PROD-6195,4 in. x 4 in. x 8 ft. #2 Pressure-Treated Timber,Lumber,SUPP-02,9.03,39,25,50,Mi-WH1,11.98
PROD-6196,4 in. x 4 in. x 10 ft. #2 Pressure-Treated Timber,Lumber,SUPP-07,12.46,125,50,100,We-WH2,15.98
PROD-6197,4 in. x 4 in. x 12 ft. #2 Pressure-Treated Timber,Lumber,SUPP-08,15.2,96,22,44,Mi-WH1,19.98
PROD-6198,2 in. x 4 in. x 8 ft. #2 Prime Pressure-Treated Lumber,Lumber,SUPP-11,3.81,123,60,120,So-WH2,4.98
PROD-6199,2 in. x 6 in. x 8 ft. #2 Prime Pressure-Treated Lumber,Lumber,SUPP-15,5.35,80,18,36,Mi-WH1,7.48
PROD-6200,2 in. x 6 in. x 10 ft. #2 Prime Pressure-Treated Lumber,Lumber,SUPP-01,6.99,210,60,120,So-WH1,9.48
