line_item_id,invoice_id,product_id,quantity,unit_price,total_amount
51,INV-50018,PROD-6126,81,11.98,959.04
52,INV-50019,PROD-6164,121,3.98,481.58
53,INV-50019,PROD-6051,122,22.99,2786.23
54,INV-50020,PROD-6234,98,43.98,4285.24
55,INV-50021,PROD-6296,19,119.0,2175.3
56,INV-50021,PROD-6047,17,54.98,934.66
57,INV-50022,PROD-6224,7,39.98,279.86
58,INV-50022,PROD-6119,9,199.0,1645.38
59,INV-50022,PROD-6248,7,0.88,6.16
60,INV-50022,PROD-6168,7,24.98,174.86
61,INV-50022,PROD-6020,7,69.0,483.0
62,INV-50023,PROD-6125,244,10.98,2668.81
63,INV-50024,PROD-6003,5,139.0,666.25
64,INV-50025,PROD-6246,8,34.98,279.84
65,INV-50025,PROD-6299,9,129.0,1110.87
66,INV-50025,PROD-6299,8,129.0,1032.0
67,INV-50025,PROD-6164,8,3.98,31.84
68,INV-50026,PROD-6215,13,7.48,97.24
69,INV-50026,PROD-6227,13,12.98,168.74
70,INV-50026,PROD-6114,14,249.0,3417.71
71,INV-50026,PROD-6071,13,16.98,220.74
72,INV-50026,PROD-6064,13,17.98,233.74
73,INV-50027,PROD-6284,224,14.98,3349.34
74,INV-50028,PROD-6064,8,17.98,143.84
75,INV-50028,PROD-6260,8,2.98,23.84
76,INV-50028,PROD-6227,8,12.98,103.84
77,INV-50028,PROD-6015,9,219.0,1869.79
78,INV-50028,PROD-6080,8,39.98,319.84
79,INV-50029,PROD-6146,66,1.48,97.68
80,INV-50029,PROD-6140,67,3.98,265.06
81,INV-50030,PROD-6155,66,14.98,988.68
82,INV-50030,PROD-6256,68,39.98,2695.78
83,INV-50030,PROD-6164,66,3.98,262.68
84,INV-50031,PROD-6027,17,69.0,1122.8
85,INV-50031,PROD-6240,15,3.98,59.7
86,INV-50031,PROD-6174,15,4.98,74.7
87,INV-50031,PROD-6141,15,4.98,74.7
88,INV-50031,PROD-6127,15,5.98,89.7
89,INV-50032,PROD-6184,17,5.98,101.66
90,INV-50032,PROD-6207,17,24.98,424.66
91,INV-50032,PROD-6066,17,3.98,67.66
92,INV-50032,PROD-6041,17,29.99,509.83
93,INV-50032,PROD-6004,19,79.0,1470.65
94,INV-50033,PROD-6174,12,4.98,59.76
95,INV-50033,PROD-6119,13,199.0,2413.35
96,INV-50034,PROD-6028,24,79.0,1863.64
97,INV-50034,PROD-6215,23,7.48,172.04
98,INV-50034,PROD-6163,23,4.98,114.54
99,INV-50035,PROD-6235,104,29.98,3088.92
100,INV-50036,PROD-6088,39,59.98,2328.82
101,INV-50036,PROD-6156,38,14.98,569.24
102,INV-50036,PROD-6206,38,16.98,645.24
103,INV-50036,PROD-6241,38,4.98,189.24
104,INV-50037,PROD-6275,221,8.98,1981.87
105,INV-50037,PROD-6145,220,0.88,193.6
106,INV-50038,PROD-6021,1,179.0,179.0
107,INV-50038,PROD-6015,1,219.0,202.58
108,INV-50038,PROD-6184,1,5.98,5.98
109,INV-50038,PROD-6103,1,249.0,0.0
110,INV-50039,PROD-6171,1,12.98,12.98
111,INV-50039,PROD-6101,2,149.0,293.08
112,INV-50039,PROD-6160,1,99.0,99.0
113,INV-50040,PROD-6043,27,19.99,539.73
114,INV-50040,PROD-6190,27,11.98,323.46
115,INV-50040,PROD-6056,28,119.0,3296.34
116,INV-50041,PROD-6267,74,54.98,4046.85
117,INV-50042,PROD-6153,12,4.48,53.76
118,INV-50042,PROD-6291,13,249.0,3007.58
119,INV-50042,PROD-6178,12,1.98,23.76
120,INV-50043,PROD-6013,1,499.0,0.0
121,INV-50043,PROD-6052,1,119.0,48.55
122,INV-50043,PROD-6083,1,21.98,21.98
123,INV-50044,PROD-6011,4,379.0,1405.9
124,INV-50044,PROD-6164,3,3.98,11.94
125,INV-50044,PROD-6160,3,99.0,297.0
126,INV-50044,PROD-6106,3,4.98,14.94
127,INV-50044,PROD-6265,3,34.98,104.94
128,INV-50045,PROD-6149,1710,1.78,3042.76
129,INV-50046,PROD-6095,10,349.0,3270.44
130,INV-50046,PROD-6028,9,79.0,711.0
131,INV-50046,PROD-6141,9,4.98,44.82
132,INV-50046,PROD-6202,9,10.98,98.82
133,INV-50046,PROD-6151,9,1.28,11.52
134,INV-50047,PROD-6274,22,19.98,439.56
135,INV-50047,PROD-6019,24,79.0,1854.92
136,INV-50047,PROD-6082,22,24.98,549.56
137,INV-50048,PROD-6026,90,49.0,4361.41
138,INV-50049,PROD-6058,7,169.0,1130.89
139,INV-50049,PROD-6065,6,29.98,179.88
140,INV-50049,PROD-6111,6,12.98,77.88
141,INV-50050,PROD-6227,46,12.98,597.08
142,INV-50050,PROD-6159,48,13.98,661.39
143,INV-50051,PROD-6223,1,24.98,24.98
144,INV-50051,PROD-6012,2,449.0,789.18
145,INV-50052,PROD-6210,30,69.98,2066.22
146,INV-50052,PROD-6265,29,34.98,1014.42
147,INV-50052,PROD-6151,29,1.28,37.12
148,INV-50053,PROD-6032,28,129.0,3506.8
149,INV-50053,PROD-6132,27,1.28,34.56
150,INV-50053,PROD-6159,27,13.98,377.46
151,INV-50053,PROD-6071,27,16.98,458.46
152,INV-50054,PROD-6219,258,14.98,3853.48
153,INV-50055,PROD-6006,5,149.0,745.0
154,INV-50055,PROD-6095,6,349.0,1752.02
155,INV-50055,PROD-6065,5,29.98,149.9
156,INV-50055,PROD-6097,5,299.0,1495.0
157,INV-50056,PROD-6071,19,16.98,322.62
158,INV-50056,PROD-6101,20,149.0,2911.3
159,INV-50056,PROD-6139,19,4.98,94.62
160,INV-50056,PROD-6106,19,4.98,94.62
161,INV-50057,PROD-6146,2614,1.48,3867.74
162,INV-50058,PROD-6160,25,99.0,2380.15
163,INV-50058,PROD-6173,24,6.98,167.52
164,INV-50058,PROD-6222,24,22.98,551.52
165,INV-50058,PROD-6130,24,0.78,18.72
166,INV-50059,PROD-6115,5,299.0,1369.75
167,INV-50059,PROD-6100,4,179.0,716.0
168,INV-50059,PROD-6268,4,7.98,31.92
169,INV-50060,PROD-6072,16,6.98,109.07
170,INV-50060,PROD-6146,15,1.48,22.2
171,INV-50061,PROD-6277,9,8.48,76.32
172,INV-50061,PROD-6002,10,119.0,1159.17
173,INV-50061,PROD-6069,9,4.98,44.82
174,INV-50061,PROD-6110,9,19.98,179.82
175,INV-50061,PROD-6143,9,6.98,62.82
176,INV-50062,PROD-6027,5,69.0,345.0
177,INV-50062,PROD-6244,5,12.98,64.9
178,INV-50062,PROD-6018,6,139.0,768.9
179,INV-50063,PROD-6025,40,99.0,3908.07
180,INV-50064,PROD-6006,1,149.0,0.0
181,INV-50064,PROD-6205,1,34.98,34.98
182,INV-50064,PROD-6299,1,129.0,69.25
183,INV-50065,PROD-6170,101,8.98,906.98
184,INV-50065,PROD-6273,103,14.98,1528.99
185,INV-50066,PROD-6144,345,0.48,165.47
186,INV-50067,PROD-6248,27,0.88,23.76
187,INV-50067,PROD-6213,27,2.48,66.96
188,INV-50067,PROD-6160,28,99.0,2745.79
189,INV-50068,PROD-6083,42,21.98,918.73
190,INV-50068,PROD-6230,40,21.98,879.2
191,INV-50069,PROD-6096,8,499.0,3798.24
192,INV-50069,PROD-6128,7,6.98,48.86
193,INV-50070,PROD-6219,14,14.98,196.21
194,INV-50071,PROD-6035,10,139.0,1368.61
195,INV-50071,PROD-6181,9,3.98,35.82
196,INV-50071,PROD-6086,9,29.98,269.82
197,INV-50071,PROD-6171,9,12.98,116.82
198,INV-50072,PROD-6277,10,8.48,84.8
199,INV-50072,PROD-6095,11,349.0,3669.46
200,INV-50072,PROD-6176,10,5.98,59.8
201,INV-50073,PROD-6134,201,4.98,1000.53
202,INV-50073,PROD-6164,200,3.98,796.0
203,INV-50074,PROD-6297,3,44.98,134.94
204,INV-50074,PROD-6096,4,499.0,1523.24
205,INV-50075,PROD-6027,36,69.0,2446.57
206,INV-50075,PROD-6043,35,19.99,699.65
207,INV-50076,PROD-6228,74,18.98,1394.53
208,INV-50077,PROD-6139,325,4.98,1614.46
209,INV-50077,PROD-6179,323,2.48,801.04
210,INV-50077,PROD-6240,323,3.98,1285.54
211,INV-50078,PROD-6255,89,24.98,2208.58
212,INV-50079,PROD-6287,23,9.98,229.54
213,INV-50079,PROD-6037,24,79.0,1832.43
214,INV-50079,PROD-6216,23,9.98,229.54
215,INV-50079,PROD-6279,23,5.98,137.54
216,INV-50080,PROD-6115,4,299.0,1130.51
217,INV-50080,PROD-6275,3,8.98,26.94
218,INV-50080,PROD-6214,3,4.98,14.94
219,INV-50080,PROD-6015,3,219.0,657.0
220,INV-50081,PROD-6043,49,19.99,979.51
221,INV-50081,PROD-6241,49,4.98,244.02
222,INV-50081,PROD-6063,49,18.98,930.02
223,INV-50081,PROD-6051,51,22.99,1151.27
224,INV-50081,PROD-6051,49,22.99,1126.51
225,INV-50082,PROD-6071,7,16.98,118.86
226,INV-50082,PROD-6188,7,11.48,80.36
227,INV-50082,PROD-6270,7,6.98,48.86
228,INV-50082,PROD-6094,8,499.0,3704.63
229,INV-50082,PROD-6173,7,6.98,48.86
230,INV-50083,PROD-6247,361,0.68,245.48
231,INV-50083,PROD-6132,362,1.28,462.58
232,INV-50084,PROD-6185,5,7.48,35.45
233,INV-50084,PROD-6161,4,3.48,13.92
234,INV-50084,PROD-6132,4,1.28,5.12
235,INV-50085,PROD-6071,94,16.98,1585.14
236,INV-50086,PROD-6118,3,149.0,356.14
237,INV-50087,PROD-6162,372,2.98,1108.56
238,INV-50087,PROD-6270,373,6.98,2600.44
239,INV-50088,PROD-6162,7,2.98,20.86
240,INV-50088,PROD-6130,7,0.78,5.46
241,INV-50088,PROD-6099,8,149.0,1092.56
242,INV-50089,PROD-6099,2,149.0,210.36
243,INV-50089,PROD-6043,1,19.99,19.99
244,INV-50089,PROD-6240,1,3.98,3.98
245,INV-50090,PROD-6145,2,0.88,1.76
246,INV-50090,PROD-6220,2,21.98,43.96
247,INV-50090,PROD-6169,2,19.98,39.96
248,INV-50090,PROD-6299,3,129.0,304.92
249,INV-50090,PROD-6224,2,39.98,79.96
250,INV-50091,PROD-6073,5,2.48,12.4
251,INV-50091,PROD-6222,5,22.98,114.9
252,INV-50091,PROD-6011,6,379.0,1973.0
253,INV-50091,PROD-6168,5,24.98,124.9
254,INV-50091,PROD-6228,5,18.98,94.9
255,INV-50092,PROD-6225,7,8.98,62.86
256,INV-50092,PROD-6031,8,149.0,1151.54
257,INV-50092,PROD-6160,7,99.0,693.0
258,INV-50093,PROD-6134,200,4.98,992.61
259,INV-50093,PROD-6179,199,2.48,493.52
260,INV-50093,PROD-6147,199,1.18,234.82
261,INV-50093,PROD-6161,199,3.48,692.52
262,INV-50094,PROD-6071,10,16.98,169.8
263,INV-50094,PROD-6214,10,4.98,49.8
264,INV-50094,PROD-6213,10,2.48,24.8
265,INV-50094,PROD-6190,10,11.98,119.8
266,INV-50094,PROD-6205,12,34.98,389.17
267,INV-50095,PROD-6212,161,1.98,318.78
268,INV-50095,PROD-6177,163,9.98,1618.71
269,INV-50095,PROD-6248,161,0.88,141.68
270,INV-50095,PROD-6286,161,7.98,1284.78
271,INV-50096,PROD-6282,42,5.98,251.16
272,INV-50096,PROD-6048,43,69.0,2928.28
273,INV-50097,PROD-6043,13,19.99,259.87
274,INV-50097,PROD-6031,14,149.0,1991.97
275,INV-50097,PROD-6075,13,22.98,298.74
276,INV-50097,PROD-6215,13,7.48,97.24
277,INV-50097,PROD-6175,13,8.98,116.74
278,INV-50098,PROD-6166,12,6.98,83.76
279,INV-50098,PROD-6205,12,34.98,419.76
280,INV-50098,PROD-6274,12,19.98,239.76
281,INV-50098,PROD-6208,14,39.98,523.74
282,INV-50099,PROD-6231,11,5.98,65.78
283,INV-50099,PROD-6112,12,19.98,223.72
284,INV-50100,PROD-6128,612,6.98,4270.68
285,INV-50101,PROD-6032,10,129.0,1256.62
286,INV-50101,PROD-6253,9,0.68,6.12
287,INV-50101,PROD-6271,9,8.98,80.82
288,INV-50101,PROD-6037,9,79.0,711.0
289,INV-50101,PROD-6071,9,16.98,152.82
290,INV-50102,PROD-6252,46,0.48,22.08
291,INV-50102,PROD-6037,47,79.0,3682.07
292,INV-50103,PROD-6098,15,199.0,2831.56
293,INV-50104,PROD-6174,11,4.98,54.78
294,INV-50104,PROD-6121,11,7.98,87.78
295,INV-50104,PROD-6017,12,149.0,1657.69
296,INV-50105,PROD-6064,180,17.98,3220.23
297,INV-50106,PROD-6001,16,129.0,1994.57
298,INV-50107,PROD-6034,6,129.0,752.06
299,INV-50108,PROD-6160,3,99.0,297.0
300,INV-50108,PROD-6273,3,14.98,44.94
301,INV-50108,PROD-6102,3,169.0,507.0
302,INV-50108,PROD-6103,4,249.0,967.32
303,INV-50109,PROD-6273,9,14.98,126.19
304,INV-50109,PROD-6173,8,6.98,55.84
305,INV-50110,PROD-6133,6,4.98,29.88
306,INV-50110,PROD-6043,6,19.99,119.94
307,INV-50110,PROD-6054,7,129.0,785.26
308,INV-50111,PROD-6126,72,11.98,862.56
309,INV-50111,PROD-6272,72,11.98,862.56
310,INV-50111,PROD-6108,75,14.98,1112.93
311,INV-50111,PROD-6171,72,12.98,934.56
312,INV-50112,PROD-6003,27,139.0,3633.26
313,INV-50112,PROD-6198,26,4.98,129.48
314,INV-50113,PROD-6286,383,7.98,3052.64
315,INV-50114,PROD-6164,484,3.98,1924.64
316,INV-50115,PROD-6160,4,99.0,396.0
317,INV-50115,PROD-6058,5,169.0,792.55
318,INV-50115,PROD-6089,4,34.98,139.92
319,INV-50115,PROD-6092,4,39.98,159.92
320,INV-50116,PROD-6065,26,29.98,779.48
321,INV-50116,PROD-6267,28,54.98,1502.34
322,INV-50116,PROD-6064,26,17.98,467.48
323,INV-50117,PROD-6186,5,9.48,47.4
324,INV-50117,PROD-6114,6,249.0,1262.58
325,INV-50117,PROD-6251,5,1.18,5.9
326,INV-50117,PROD-6173,5,6.98,34.9
327,INV-50117,PROD-6087,5,44.98,224.9
328,INV-50118,PROD-6133,206,4.98,1025.88
329,INV-50118,PROD-6156,208,14.98,3102.59
330,INV-50118,PROD-6132,206,1.28,263.68
331,INV-50119,PROD-6146,114,1.48,168.72
332,INV-50119,PROD-6229,115,14.98,1719.63
333,INV-50120,PROD-6056,22,119.0,2597.47
334,INV-50120,PROD-6258,21,1.48,31.08
335,INV-50120,PROD-6282,21,5.98,125.58
336,INV-50120,PROD-6112,21,19.98,419.58
337,INV-50121,PROD-6267,53,54.98,2908.45
338,INV-50121,PROD-6156,52,14.98,778.96
339,INV-50122,PROD-6008,15,199.0,2822.87
340,INV-50123,PROD-6252,169,0.48,81.12
341,INV-50123,PROD-6258,169,1.48,250.12
342,INV-50123,PROD-6123,170,9.98,1689.49
343,INV-50123,PROD-6164,169,3.98,672.62
344,INV-50124,PROD-6071,24,16.98,407.52
345,INV-50124,PROD-6198,24,4.98,119.52
346,INV-50124,PROD-6006,25,149.0,3607.69
347,INV-50125,PROD-6242,267,6.48,1726.54
348,INV-50126,PROD-6263,251,1.48,371.48
349,INV-50126,PROD-6164,252,3.98,1001.67
350,INV-50126,PROD-6213,251,2.48,622.48
351,INV-50127,PROD-6072,66,6.98,460.68
352,INV-50127,PROD-6214,66,4.98,328.68
353,INV-50127,PROD-6257,68,54.98,3695.38
354,INV-50128,PROD-6287,15,9.98,149.7
355,INV-50128,PROD-6282,15,5.98,89.7
356,INV-50128,PROD-6043,17,19.99,321.12
357,INV-50129,PROD-6003,3,139.0,313.76
358,INV-50129,PROD-6026,2,49.0,98.0
359,INV-50130,PROD-6008,2,199.0,219.63
360,INV-50130,PROD-6056,1,119.0,119.0
361,INV-50130,PROD-6172,1,5.98,5.98
362,INV-50130,PROD-6127,1,5.98,5.98
363,INV-50130,PROD-6265,1,34.98,34.98
364,INV-50131,PROD-6101,2,149.0,298.0
365,INV-50131,PROD-6076,2,16.98,33.96
366,INV-50131,PROD-6115,3,299.0,700.0
367,INV-50131,PROD-6174,2,4.98,9.96
368,INV-50131,PROD-6080,2,39.98,79.96
369,INV-50132,PROD-6102,5,169.0,696.54
370,INV-50132,PROD-6231,3,5.98,17.94
371,INV-50132,PROD-6108,3,14.98,44.94
372,INV-50132,PROD-6258,3,1.48,4.44
373,INV-50132,PROD-6068,3,3.98,11.94
374,INV-50133,PROD-6229,98,14.98,1468.04
375,INV-50133,PROD-6043,100,19.99,1992.98
376,INV-50134,PROD-6167,18,11.98,215.64
377,INV-50134,PROD-6294,19,99.0,1790.64
378,INV-50135,PROD-6142,20,5.98,115.73
379,INV-50136,PROD-6080,92,39.98,3659.88
380,INV-50137,PROD-6188,99,11.48,1136.52
381,INV-50137,PROD-6076,101,16.98,1706.0
382,INV-50138,PROD-6127,59,5.98,352.82
383,INV-50138,PROD-6040,60,34.99,2079.71
384,INV-50138,PROD-6268,59,7.98,470.82
385,INV-50139,PROD-6081,23,19.98,459.54
386,INV-50139,PROD-6006,24,149.0,3441.8
387,INV-50140,PROD-6158,26,29.98,779.48
388,INV-50140,PROD-6246,28,34.98,947.8
389,INV-50141,PROD-6082,37,24.98,923.77
390,INV-50142,PROD-6122,37,8.98,323.79
391,INV-50143,PROD-6213,32,2.48,79.36
392,INV-50143,PROD-6032,33,129.0,4188.78
393,INV-50144,PROD-6079,21,34.98,705.06
394,INV-50144,PROD-6079,20,34.98,699.6
395,INV-50144,PROD-6217,20,16.98,339.6
396,INV-50144,PROD-6074,20,5.98,119.6
397,INV-50144,PROD-6188,20,11.48,229.6
398,INV-50145,PROD-6054,14,129.0,1751.42
399,INV-50145,PROD-6272,13,11.98,155.74
400,INV-50145,PROD-6126,13,11.98,155.74
401,INV-50145,PROD-6116,13,24.98,324.74
402,INV-50145,PROD-6154,13,5.98,77.74
403,INV-50146,PROD-6051,107,22.99,2448.66
404,INV-50146,PROD-6219,105,14.98,1572.9
405,INV-50147,PROD-6028,16,79.0,1264.0
406,INV-50147,PROD-6231,16,5.98,95.68
407,INV-50147,PROD-6021,17,179.0,2936.43
408,INV-50148,PROD-6086,103,29.98,3061.61
409,INV-50148,PROD-6106,102,4.98,507.96
410,INV-50148,PROD-6213,102,2.48,252.96
411,INV-50149,PROD-6283,22,4.48,98.56
412,INV-50149,PROD-6120,22,7.98,175.56
413,INV-50149,PROD-6284,24,14.98,349.38
414,INV-50150,PROD-6142,18,5.98,107.64
415,INV-50150,PROD-6080,19,39.98,737.17
416,INV-50150,PROD-6161,18,3.48,62.64
417,INV-50150,PROD-6050,18,15.99,287.82
418,INV-50150,PROD-6253,18,0.68,12.24
419,INV-50151,PROD-6146,768,1.48,1135.27
420,INV-50152,PROD-6048,9,69.0,621.0
421,INV-50152,PROD-6185,9,7.48,67.32
422,INV-50152,PROD-6139,9,4.98,44.82
423,INV-50152,PROD-6102,11,169.0,1727.16
424,INV-50152,PROD-6105,9,89.0,801.0
425,INV-50153,PROD-6145,4072,0.88,3582.66
426,INV-50154,PROD-6177,9,9.98,89.82
427,INV-50154,PROD-6135,9,5.98,53.82
428,INV-50154,PROD-6023,10,79.0,736.74
429,INV-50155,PROD-6242,28,6.48,181.44
430,INV-50155,PROD-6205,30,34.98,1019.09
431,INV-50156,PROD-6031,22,149.0,3186.31
432,INV-50156,PROD-6093,21,24.98,524.58
433,INV-50157,PROD-6273,66,14.98,988.68
434,INV-50157,PROD-6041,68,29.99,2026.53
435,INV-50157,PROD-6283,66,4.48,295.68
436,INV-50158,PROD-6058,21,169.0,3542.03
437,INV-50159,PROD-6217,83,16.98,1405.91
438,INV-50159,PROD-6244,81,12.98,1051.38
439,INV-50159,PROD-6195,81,11.98,970.38
440,INV-50160,PROD-6269,185,9.98,1836.85
441,INV-50161,PROD-6068,4,3.98,15.92
442,INV-50161,PROD-6296,4,119.0,476.0
443,INV-50161,PROD-6280,4,6.98,27.92
444,INV-50161,PROD-6013,6,499.0,2537.2
445,INV-50162,PROD-6173,16,6.98,111.68
446,INV-50162,PROD-6299,17,129.0,2106.25
447,INV-50163,PROD-6167,175,11.98,2095.05
448,INV-50163,PROD-6272,173,11.98,2072.54
449,INV-50164,PROD-6216,10,9.98,99.8
450,INV-50164,PROD-6060,10,24.98,249.8
451,INV-50164,PROD-6035,12,139.0,1536.58
452,INV-50164,PROD-6127,10,5.98,59.8
453,INV-50164,PROD-6241,10,4.98,49.8
454,INV-50165,PROD-6254,5,4.98,24.9
455,INV-50165,PROD-6095,5,349.0,1745.0
456,INV-50165,PROD-6248,5,0.88,4.4
457,INV-50165,PROD-6012,6,449.0,2630.51
458,INV-50166,PROD-6164,13,3.98,51.74
459,INV-50166,PROD-6141,15,4.98,70.44
460,INV-50166,PROD-6262,13,0.98,12.74
461,INV-50167,PROD-6101,6,149.0,802.96
462,INV-50167,PROD-6214,4,4.98,19.92
463,INV-50167,PROD-6020,4,69.0,276.0
464,INV-50168,PROD-6161,430,3.48,1493.77
465,INV-50169,PROD-6219,43,14.98,642.12
466,INV-50170,PROD-6263,2229,1.48,3298.29
467,INV-50171,PROD-6260,92,2.98,274.16
468,INV-50171,PROD-6126,93,11.98,1111.21
469,INV-50172,PROD-6258,14,1.48,20.72
470,INV-50172,PROD-6007,15,139.0,1969.2
471,INV-50172,PROD-6259,14,2.48,34.72
472,INV-50173,PROD-6116,1,24.98,24.98
473,INV-50173,PROD-6277,1,8.48,8.48
474,INV-50173,PROD-6022,1,149.0,0.0
475,INV-50173,PROD-6002,1,119.0,119.0
476,INV-50173,PROD-6017,1,149.0,-91.7
477,INV-50174,PROD-6121,460,7.98,3664.74
478,INV-50175,PROD-6141,30,4.98,149.4
479,INV-50175,PROD-6171,30,12.98,389.4
480,INV-50175,PROD-6081,30,19.98,599.4
481,INV-50175,PROD-6120,30,7.98,239.4
482,INV-50175,PROD-6028,31,79.0,2440.59
483,INV-50176,PROD-6219,23,14.98,344.54
484,INV-50176,PROD-6071,23,16.98,390.54
485,INV-50176,PROD-6033,24,89.0,2110.99
486,INV-50176,PROD-6106,23,4.98,114.54
487,INV-50177,PROD-6088,2,59.98,93.45
488,INV-50177,PROD-6071,1,16.98,16.98
489,INV-50178,PROD-6082,26,24.98,633.9
490,INV-50179,PROD-6296,8,119.0,898.5
491,INV-50179,PROD-6129,7,1.48,10.36
492,INV-50179,PROD-6116,7,24.98,174.86
493,INV-50179,PROD-6199,7,7.48,52.36
494,INV-50179,PROD-6067,7,3.98,27.86
495,INV-50180,PROD-6241,189,4.98,941.22
496,INV-50180,PROD-6076,190,16.98,3221.72
497,INV-50181,PROD-6126,131,11.98,1568.3
498,INV-50181,PROD-6261,129,4.48,577.92
499,INV-50181,PROD-6282,129,5.98,771.42
500,INV-50181,PROD-6137,129,6.98,900.42
501,INV-50182,PROD-6296,14,119.0,1615.14
502,INV-50182,PROD-6222,13,22.98,298.74
503,INV-50182,PROD-6020,13,69.0,897.0
504,INV-50182,PROD-6121,13,7.98,103.74
505,INV-50182,PROD-6252,13,0.48,6.24
506,INV-50183,PROD-6248,4,0.88,3.52
507,INV-50183,PROD-6036,4,119.0,476.0
508,INV-50183,PROD-6015,4,219.0,876.0
509,INV-50183,PROD-6116,4,24.98,99.92
510,INV-50183,PROD-6012,5,449.0,1831.01
511,INV-50184,PROD-6234,32,43.98,1407.36
512,INV-50184,PROD-6105,33,89.0,2884.2
513,INV-50185,PROD-6187,20,8.98,179.6
514,INV-50185,PROD-6067,20,3.98,79.6
515,INV-50185,PROD-6154,20,5.98,119.6
516,INV-50185,PROD-6177,20,9.98,199.6
517,INV-50185,PROD-6156,21,14.98,311.98
518,INV-50186,PROD-6120,26,7.98,207.48
519,INV-50186,PROD-6227,26,12.98,337.48
520,INV-50186,PROD-6205,27,34.98,940.98
521,INV-50187,PROD-6246,38,34.98,1299.7
522,INV-50187,PROD-6069,37,4.98,184.26
523,INV-50187,PROD-6069,37,4.98,184.26
524,INV-50188,PROD-6175,127,8.98,1137.39
525,INV-50189,PROD-6028,16,79.0,1258.75
526,INV-50189,PROD-6260,14,2.98,41.72
527,INV-50189,PROD-6079,14,34.98,489.72
528,INV-50189,PROD-6039,14,59.0,826.0
529,INV-50189,PROD-6263,14,1.48,20.72
530,INV-50190,PROD-6256,40,39.98,1593.7
531,INV-50191,PROD-6245,30,24.98,726.79
532,INV-50191,PROD-6194,29,24.98,724.42
533,INV-50192,PROD-6217,1,16.98,16.98
534,INV-50192,PROD-6084,1,14.98,14.98
535,INV-50192,PROD-6074,1,5.98,5.98
536,INV-50192,PROD-6001,3,129.0,279.45
537,INV-50192,PROD-6205,1,34.98,34.98
538,INV-50193,PROD-6159,42,13.98,581.26
539,INV-50193,PROD-6287,41,9.98,409.18
540,INV-50194,PROD-6265,20,34.98,699.6
541,INV-50194,PROD-6297,20,44.98,899.6
542,INV-50194,PROD-6019,21,79.0,1624.41
543,INV-50194,PROD-6262,20,0.98,19.6
544,INV-50194,PROD-6153,20,4.48,89.6
545,INV-50195,PROD-6248,8,0.88,7.04
546,INV-50195,PROD-6103,9,249.0,2093.33
547,INV-50195,PROD-6199,8,7.48,59.84
548,INV-50196,PROD-6258,42,1.48,62.16
549,INV-50196,PROD-6217,43,16.98,724.67
550,INV-50196,PROD-6155,42,14.98,629.16
551,INV-50197,PROD-6255,8,24.98,199.84
