line_item_id,invoice_id,product_id,quantity,unit_price,discount,total_amount
LI-100030,INV-50015,PROD-6154,2,122.54,0.0,245.08
LI-100031,INV-50015,PROD-6260,1,197.37,0.0,197.37
LI-100032,INV-50015,PROD-6152,1,283.32,5.0,278.32
LI-100033,INV-50015,PROD-6061,2,5.81,0.0,11.61
LI-100034,INV-50016,PROD-6080,1,263.47,5.0,258.47
LI-100035,INV-50016,PROD-6090,2,81.64,0.0,163.28
LI-100036,INV-50017,PROD-6091,3,287.23,10.0,851.69
LI-100037,INV-50018,PROD-6199,1,491.09,0.0,491.09
LI-100038,INV-50018,PROD-6164,1,246.33,0.0,246.33
LI-100039,INV-50018,PROD-6273,1,442.01,0.0,442.01
LI-100040,INV-50018,PROD-6256,3,376.15,5.0,1123.46
LI-100041,INV-50019,PROD-6201,3,151.16,0.0,453.48
LI-100042,INV-50019,PROD-6157,3,218.74,0.0,656.23
LI-100043,INV-50019,PROD-6045,2,340.73,25.0,656.46
LI-100044,INV-50020,PROD-6073,1,274.79,0.0,274.79
LI-100045,INV-50020,PROD-6017,15,247.59,10.0,3703.88
LI-100046,INV-50020,PROD-6071,3,227.15,25.0,656.46
LI-100047,INV-50021,PROD-6142,1,255.51,0.0,255.51
LI-100048,INV-50022,PROD-6272,1,102.5,5.0,97.5
LI-100049,INV-50022,PROD-6175,2,113.89,5.0,222.78
LI-100050,INV-50023,PROD-6253,2,81.78,10.0,153.55
LI-100051,INV-50024,PROD-6086,2,222.03,10.0,434.07
LI-100052,INV-50024,PROD-6024,22,379.39,0.0,8346.54
LI-100053,INV-50025,PROD-6183,1,294.74,0.0,294.74
LI-100054,INV-50026,PROD-6096,3,98.59,0.0,295.78
LI-100055,INV-50026,PROD-6163,2,439.81,0.0,879.62
LI-100056,INV-50026,PROD-6220,1,470.9,0.0,470.9
LI-100057,INV-50026,PROD-6228,3,55.88,0.0,167.65
LI-100058,INV-50026,PROD-6098,3,257.36,0.0,772.07
LI-100059,INV-50027,PROD-6148,2,243.19,0.0,486.37
LI-100060,INV-50027,PROD-6050,3,274.26,10.0,812.77
LI-100061,INV-50028,PROD-6104,1,315.99,0.0,315.99
LI-100062,INV-50028,PROD-6037,3,105.64,0.0,316.93
LI-100063,INV-50029,PROD-6228,3,284.88,10.0,844.63
LI-100064,INV-50029,PROD-6003,2,190.7,0.0,381.39
LI-100065,INV-50030,PROD-6194,1,496.7,0.0,496.7
LI-100066,INV-50030,PROD-6122,3,331.87,5.0,990.6
LI-100067,INV-50030,PROD-6135,1,143.95,0.0,143.95
LI-100068,INV-50030,PROD-6133,2,149.93,0.0,299.85
LI-100069,INV-50030,PROD-6093,1,485.99,0.0,485.99
LI-100070,INV-50031,PROD-6026,1,458.94,25.0,433.94
LI-100071,INV-50031,PROD-6194,3,160.25,0.0,480.76
LI-100072,INV-50031,PROD-6124,2,175.41,0.0,350.83
LI-100073,INV-50031,PROD-6017,6,270.88,5.0,1620.27
LI-100074,INV-50031,PROD-6246,1,154.63,0.0,154.63
LI-100075,INV-50032,PROD-6203,3,426.49,0.0,1279.47
LI-100076,INV-50032,PROD-6142,3,124.02,0.0,372.06
LI-100077,INV-50032,PROD-6241,3,329.65,25.0,963.96
LI-100078,INV-50033,PROD-6219,1,369.85,0.0,369.85
LI-100079,INV-50033,PROD-6079,1,184.63,5.0,179.63
LI-100080,INV-50033,PROD-6106,3,62.25,10.0,176.76
LI-100081,INV-50034,PROD-6130,1,306.23,25.0,281.23
LI-100082,INV-50034,PROD-6146,1,453.22,0.0,453.22
LI-100083,INV-50034,PROD-6007,2,150.26,5.0,295.52
LI-100084,INV-50034,PROD-6116,1,236.8,0.0,236.8
LI-100085,INV-50034,PROD-6193,2,304.44,0.0,608.88
LI-100086,INV-50035,PROD-6192,2,353.2,0.0,706.39
LI-100087,INV-50036,PROD-6212,2,413.55,0.0,827.09
LI-100088,INV-50037,PROD-6099,2,76.3,0.0,152.61
LI-100089,INV-50037,PROD-6243,1,411.1,0.0,411.1
LI-100090,INV-50037,PROD-6049,3,399.92,10.0,1189.75
LI-100091,INV-50038,PROD-6075,1,339.19,25.0,314.19
LI-100092,INV-50038,PROD-6092,1,443.73,25.0,418.73
LI-100093,INV-50038,PROD-6126,2,241.61,25.0,458.21
LI-100094,INV-50039,PROD-6147,1,250.77,25.0,225.77
LI-100095,INV-50040,PROD-6004,2,391.04,5.0,777.09
LI-100096,INV-50040,PROD-6241,2,108.64,0.0,217.29
LI-100097,INV-50040,PROD-6199,1,407.14,0.0,407.14
LI-100098,INV-50040,PROD-6148,2,343.05,0.0,686.11
LI-100099,INV-50040,PROD-6035,1,123.11,0.0,123.11
LI-100100,INV-50041,PROD-6189,2,80.82,0.0,161.63
LI-100101,INV-50041,PROD-6203,2,256.42,0.0,512.84
LI-100102,INV-50041,PROD-6058,1,245.51,5.0,240.51
LI-100103,INV-50041,PROD-6253,2,78.49,0.0,156.99
LI-100104,INV-50041,PROD-6182,1,106.05,25.0,81.05
LI-100105,INV-50042,PROD-6096,3,309.7,0.0,929.1
LI-100106,INV-50042,PROD-6035,3,290.67,0.0,872.02
LI-100107,INV-50042,PROD-6065,1,295.18,0.0,295.18
LI-100108,INV-50042,PROD-6239,2,188.63,25.0,352.25
LI-100109,INV-50043,PROD-6265,3,140.4,0.0,421.2
LI-100110,INV-50043,PROD-6105,3,480.01,0.0,1440.02
LI-100111,INV-50043,PROD-6204,2,36.76,5.0,68.52
LI-100112,INV-50044,PROD-6282,3,398.19,25.0,1169.57
LI-100113,INV-50044,PROD-6090,3,218.52,0.0,655.56
LI-100114,INV-50044,PROD-6191,3,24.04,0.0,72.12
LI-100115,INV-50045,PROD-6200,3,49.05,25.0,122.14
LI-100116,INV-50045,PROD-6251,1,301.08,5.0,296.08
LI-100117,INV-50045,PROD-6085,1,211.6,5.0,206.6
LI-100118,INV-50045,PROD-6201,3,11.93,0.0,35.78
LI-100119,INV-50046,PROD-6269,1,272.0,10.0,262.0
LI-100120,INV-50046,PROD-6000,3,283.1,5.0,844.31
LI-100121,INV-50046,PROD-6001,3,360.14,10.0,1070.42
LI-100122,INV-50046,PROD-6175,3,148.81,5.0,441.42
LI-100123,INV-50046,PROD-6235,1,79.2,25.0,54.2
LI-100124,INV-50047,PROD-6242,3,85.56,0.0,256.67
LI-100125,INV-50047,PROD-6154,3,188.98,0.0,566.94
LI-100126,INV-50048,PROD-6053,2,391.07,0.0,782.13
LI-100127,INV-50048,PROD-6244,3,371.65,0.0,1114.94
LI-100128,INV-50048,PROD-6227,3,258.94,0.0,776.81
LI-100129,INV-50049,PROD-6247,2,73.67,0.0,147.34
LI-100130,INV-50049,PROD-6154,3,87.72,0.0,263.16
LI-100131,INV-50049,PROD-6014,3,302.71,0.0,908.12
LI-100132,INV-50050,PROD-6237,1,245.76,5.0,240.76
LI-100133,INV-50050,PROD-6042,3,104.69,5.0,309.06
LI-100134,INV-50051,PROD-6270,3,283.83,5.0,846.49
LI-100135,INV-50051,PROD-6109,3,291.65,10.0,864.95
LI-100136,INV-50051,PROD-6209,3,185.77,0.0,557.31
LI-100137,INV-50052,PROD-6119,2,494.03,0.0,988.07
LI-100138,INV-50052,PROD-6128,1,275.16,0.0,275.16
LI-100139,INV-50052,PROD-6141,3,321.05,10.0,953.15
LI-100140,INV-50053,PROD-6029,1,18.06,5.0,13.06
LI-100141,INV-50054,PROD-6086,3,257.85,0.0,773.56
LI-100142,INV-50054,PROD-6244,2,86.72,0.0,173.43
LI-100143,INV-50055,PROD-6118,1,154.46,0.0,154.46
LI-100144,INV-50055,PROD-6036,3,111.76,25.0,310.28
LI-100145,INV-50055,PROD-6142,3,277.28,10.0,821.85
LI-100146,INV-50055,PROD-6242,1,346.3,25.0,321.3
LI-100147,INV-50056,PROD-6151,1,85.64,0.0,85.64
LI-100148,INV-50056,PROD-6050,2,180.79,0.0,361.58
LI-100149,INV-50056,PROD-6040,1,310.31,5.0,305.31
LI-100150,INV-50056,PROD-6178,3,293.46,25.0,855.38
LI-100151,INV-50056,PROD-6245,3,433.89,25.0,1276.66
LI-100152,INV-50057,PROD-6243,2,161.33,25.0,297.66
LI-100153,INV-50057,PROD-6252,3,427.85,0.0,1283.54
LI-100154,INV-50057,PROD-6069,2,342.59,0.0,685.19
LI-100155,INV-50057,PROD-6103,3,403.64,0.0,1210.93
LI-100156,INV-50058,PROD-6110,3,14.86,25.0,19.57
LI-100157,INV-50059,PROD-6033,1,96.53,0.0,96.53
LI-100158,INV-50059,PROD-6125,3,56.42,5.0,164.26
LI-100159,INV-50059,PROD-6278,2,445.66,0.0,891.33
LI-100160,INV-50060,PROD-6201,3,493.53,10.0,1470.6
LI-100161,INV-50060,PROD-6149,1,242.39,10.0,232.39
LI-100162,INV-50060,PROD-6256,3,496.47,5.0,1484.41
LI-100163,INV-50061,PROD-6012,2,103.87,0.0,207.74
LI-100164,INV-50061,PROD-6065,2,208.81,0.0,417.62
LI-100165,INV-50062,PROD-6171,1,282.98,0.0,282.98
LI-100166,INV-50062,PROD-6224,2,224.37,0.0,448.74
LI-100167,INV-50062,PROD-6044,2,41.3,0.0,82.59
LI-100168,INV-50062,PROD-6059,3,435.46,0.0,1306.37
LI-100169,INV-50063,PROD-6183,2,437.52,0.0,875.04
LI-100170,INV-50063,PROD-6132,1,463.35,0.0,463.35
LI-100171,INV-50063,PROD-6194,2,173.99,0.0,347.98
LI-100172,INV-50063,PROD-6056,1,189.58,5.0,184.58
LI-100173,INV-50064,PROD-6012,3,212.95,25.0,613.85
LI-100174,INV-50065,PROD-6156,2,43.67,10.0,77.35
LI-100175,INV-50065,PROD-6034,2,417.21,0.0,834.42
LI-100176,INV-50065,PROD-6081,3,220.06,0.0,660.18
LI-100177,INV-50066,PROD-6036,1,54.9,5.0,49.9
LI-100178,INV-50066,PROD-6182,1,90.43,25.0,65.43
LI-100179,INV-50067,PROD-6158,1,424.5,0.0,424.5
LI-100180,INV-50067,PROD-6132,2,215.01,25.0,405.02
LI-100181,INV-50067,PROD-6091,1,387.47,5.0,382.47
LI-100182,INV-50067,PROD-6195,2,417.76,25.0,810.52
LI-100183,INV-50067,PROD-6241,3,22.08,0.0,66.24
LI-100184,INV-50068,PROD-6038,3,71.79,0.0,215.36
LI-100185,INV-50068,PROD-6060,1,437.14,0.0,437.14
LI-100186,INV-50068,PROD-6040,1,453.5,0.0,453.5
LI-100187,INV-50068,PROD-6070,2,42.67,5.0,80.34
LI-100188,INV-50068,PROD-6277,1,362.71,0.0,362.71
LI-100189,INV-50069,PROD-6149,1,116.2,0.0,116.2
LI-100190,INV-50069,PROD-6086,2,238.7,10.0,467.4
LI-100191,INV-50069,PROD-6138,1,369.09,0.0,369.09
LI-100192,INV-50070,PROD-6040,3,100.83,0.0,302.49
LI-100193,INV-50070,PROD-6003,3,420.73,0.0,1262.2
LI-100194,INV-50070,PROD-6048,1,418.74,0.0,418.74
LI-100195,INV-50070,PROD-6244,1,346.32,10.0,336.32
LI-100196,INV-50070,PROD-6050,3,384.37,0.0,1153.1
LI-100197,INV-50071,PROD-6239,1,308.42,10.0,298.42
LI-100198,INV-50071,PROD-6275,2,172.88,0.0,345.76
LI-100199,INV-50072,PROD-6116,3,260.93,10.0,772.8
LI-100200,INV-50073,PROD-6068,2,107.25,0.0,214.49
LI-100201,INV-50073,PROD-6106,1,381.1,5.0,376.1
LI-100202,INV-50073,PROD-6134,2,169.35,0.0,338.7
LI-100203,INV-50073,PROD-6075,1,72.0,10.0,62.0
LI-100204,INV-50074,PROD-6127,1,145.33,5.0,140.33
LI-100205,INV-50074,PROD-6010,1,186.25,10.0,176.25
LI-100206,INV-50074,PROD-6206,2,147.99,10.0,285.98
LI-100207,INV-50074,PROD-6034,2,150.26,0.0,300.52
LI-100208,INV-50074,PROD-6136,2,485.99,5.0,966.99
LI-100209,INV-50075,PROD-6202,3,300.63,0.0,901.88
LI-100210,INV-50075,PROD-6158,1,458.62,0.0,458.62
LI-100211,INV-50075,PROD-6056,1,392.74,0.0,392.74
LI-100212,INV-50075,PROD-6043,3,420.81,10.0,1252.44
LI-100213,INV-50075,PROD-6191,2,201.44,5.0,397.89
LI-100214,INV-50076,PROD-6117,1,113.25,0.0,113.25
LI-100215,INV-50076,PROD-6123,2,151.91,5.0,298.82
LI-100216,INV-50076,PROD-6265,2,230.41,5.0,455.81
LI-100217,INV-50077,PROD-6179,2,192.18,10.0,374.36
LI-100218,INV-50077,PROD-6245,3,134.18,5.0,397.53
LI-100219,INV-50077,PROD-6099,3,437.96,0.0,1313.88
LI-100220,INV-50077,PROD-6180,2,111.86,0.0,223.71
LI-100221,INV-50078,PROD-6110,3,131.16,0.0,393.49
LI-100222,INV-50078,PROD-6206,3,392.69,25.0,1153.08
LI-100223,INV-50078,PROD-6200,2,216.33,10.0,422.66
LI-100224,INV-50079,PROD-6158,2,114.86,25.0,204.71
LI-100225,INV-50079,PROD-6274,1,260.67,0.0,260.67
LI-100226,INV-50079,PROD-6005,2,209.92,0.0,419.84
LI-100227,INV-50079,PROD-6249,3,474.7,10.0,1414.11
LI-100228,INV-50079,PROD-6159,3,107.1,10.0,311.3
LI-100229,INV-50080,PROD-6019,46,175.57,0.0,8076.24
LI-100230,INV-50081,PROD-6026,3,11.54,0.0,34.63
LI-100231,INV-50082,PROD-6063,3,70.16,5.0,205.47
LI-100232,INV-50082,PROD-6007,2,265.03,0.0,530.06
LI-100233,INV-50083,PROD-6257,3,480.05,0.0,1440.16
LI-100234,INV-50083,PROD-6187,1,91.93,0.0,91.93
LI-100235,INV-50084,PROD-6233,1,280.14,0.0,280.14
LI-100236,INV-50085,PROD-6059,2,377.13,0.0,754.25
LI-100237,INV-50086,PROD-6258,1,174.92,10.0,164.92
LI-100238,INV-50086,PROD-6203,3,71.87,5.0,210.62
LI-100239,INV-50087,PROD-6188,3,332.09,0.0,996.28
LI-100240,INV-50087,PROD-6264,3,194.04,0.0,582.12
LI-100241,INV-50087,PROD-6147,1,111.61,5.0,106.61
LI-100242,INV-50087,PROD-6045,2,351.24,0.0,702.48
LI-100243,INV-50088,PROD-6064,1,368.22,10.0,358.22
LI-100244,INV-50088,PROD-6147,1,48.57,5.0,43.57
LI-100245,INV-50088,PROD-6027,1,429.76,0.0,429.76
LI-100246,INV-50089,PROD-6156,2,380.59,25.0,736.18
LI-100247,INV-50089,PROD-6212,2,415.36,0.0,830.73
LI-100248,INV-50090,PROD-6149,3,429.23,0.0,1287.68
LI-100249,INV-50090,PROD-6092,1,354.55,0.0,354.55
LI-100250,INV-50091,PROD-6066,2,116.52,0.0,233.04
LI-100251,INV-50091,PROD-6263,3,456.49,0.0,1369.47
LI-100252,INV-50091,PROD-6181,1,234.93,0.0,234.93
LI-100253,INV-50091,PROD-6242,1,107.62,5.0,102.62
LI-100254,INV-50092,PROD-6069,1,423.5,0.0,423.5
LI-100255,INV-50092,PROD-6159,1,313.91,10.0,303.91
LI-100256,INV-50092,PROD-6201,3,354.94,5.0,1059.82
LI-100257,INV-50092,PROD-6008,1,430.15,0.0,430.15
LI-100258,INV-50093,PROD-6118,1,87.26,25.0,62.26
LI-100259,INV-50093,PROD-6175,3,40.17,10.0,110.5
LI-100260,INV-50094,PROD-6147,3,447.07,0.0,1341.2
LI-100261,INV-50094,PROD-6088,2,499.79,0.0,999.59
LI-100262,INV-50094,PROD-6112,3,237.68,0.0,713.03
LI-100263,INV-50095,PROD-6157,2,14.6,25.0,4.2
LI-100264,INV-50095,PROD-6186,3,436.01,5.0,1303.04
LI-100265,INV-50095,PROD-6185,3,434.24,25.0,1277.72
LI-100266,INV-50096,PROD-6090,3,232.02,0.0,696.07
LI-100267,INV-50097,PROD-6059,1,280.25,0.0,280.25
LI-100268,INV-50097,PROD-6077,1,148.1,25.0,123.1
LI-100269,INV-50097,PROD-6045,3,53.49,5.0,155.46
LI-100270,INV-50097,PROD-6246,1,322.34,10.0,312.34
LI-100271,INV-50098,PROD-6113,2,335.65,0.0,671.3
LI-100272,INV-50098,PROD-6115,1,477.02,0.0,477.02
LI-100273,INV-50098,PROD-6079,1,322.26,0.0,322.26
LI-100274,INV-50098,PROD-6142,3,145.64,0.0,436.92
LI-100275,INV-50099,PROD-6264,1,330.07,10.0,320.07
LI-100276,INV-50099,PROD-6113,1,438.06,0.0,438.06
LI-100277,INV-50099,PROD-6216,1,50.44,25.0,25.44
LI-100278,INV-50100,PROD-6118,3,149.47,0.0,448.41
LI-100279,INV-50100,PROD-6261,1,404.7,0.0,404.7
LI-100280,INV-50101,PROD-6262,2,407.44,10.0,804.89
LI-100281,INV-50101,PROD-6064,1,471.75,0.0,471.75
LI-100282,INV-50101,PROD-6269,2,466.98,0.0,933.95
LI-100283,INV-50101,PROD-6036,3,380.84,25.0,1117.51
LI-100284,INV-50102,PROD-6094,3,497.75,25.0,1468.25
LI-100285,INV-50102,PROD-6164,2,220.33,10.0,430.67
LI-100286,INV-50102,PROD-6057,2,224.96,0.0,449.92
LI-100287,INV-50103,PROD-6086,3,86.55,25.0,234.64
LI-100288,INV-50103,PROD-6017,45,25.88,10.0,1154.56
LI-100289,INV-50103,PROD-6267,2,371.85,5.0,738.7
LI-100290,INV-50103,PROD-6045,3,63.8,0.0,191.39
LI-100291,INV-50103,PROD-6217,3,402.56,5.0,1202.69
LI-100292,INV-50104,PROD-6056,1,377.81,25.0,352.81
LI-100293,INV-50104,PROD-6017,26,99.08,0.0,2576.12
LI-100294,INV-50104,PROD-6106,1,328.56,0.0,328.56
LI-100295,INV-50104,PROD-6134,1,260.87,0.0,260.87
LI-100296,INV-50104,PROD-6271,2,25.06,0.0,50.12
LI-100297,INV-50105,PROD-6186,2,477.53,0.0,955.06
LI-100298,INV-50106,PROD-6232,2,451.78,5.0,898.56
LI-100299,INV-50106,PROD-6039,2,390.45,0.0,780.91
LI-100300,INV-50107,PROD-6180,2,104.66,0.0,209.32
LI-100301,INV-50107,PROD-6153,1,115.76,0.0,115.76
LI-100302,INV-50107,PROD-6151,1,177.78,0.0,177.78
LI-100303,INV-50107,PROD-6042,1,85.07,0.0,85.07
LI-100304,INV-50108,PROD-6267,3,57.56,10.0,162.68
LI-100305,INV-50109,PROD-6189,3,430.98,5.0,1287.95
LI-100306,INV-50110,PROD-6054,3,498.67,0.0,1496.01
LI-100307,INV-50110,PROD-6118,1,23.27,0.0,23.27
LI-100308,INV-50110,PROD-6244,1,236.01,0.0,236.01
LI-100309,INV-50110,PROD-6166,3,296.77,0.0,890.31
LI-100310,INV-50110,PROD-6057,3,241.37,0.0,724.11
LI-100311,INV-50111,PROD-6163,2,271.79,0.0,543.59
LI-100312,INV-50111,PROD-6274,2,94.43,25.0,163.85
LI-100313,INV-50111,PROD-6238,1,156.6,25.0,131.6
LI-100314,INV-50112,PROD-6014,1,188.98,0.0,188.98
LI-100315,INV-50112,PROD-6079,1,132.51,10.0,122.51
LI-100316,INV-50112,PROD-6165,1,60.7,0.0,60.7
LI-100317,INV-50113,PROD-6072,3,479.46,0.0,1438.39
LI-100318,INV-50114,PROD-6187,2,170.38,0.0,340.75
LI-100319,INV-50114,PROD-6106,3,85.71,0.0,257.13
LI-100320,INV-50115,PROD-6085,3,100.74,10.0,292.22
LI-100321,INV-50115,PROD-6015,29,276.91,5.0,8025.48
LI-100322,INV-50115,PROD-6084,2,110.85,5.0,216.7
LI-100323,INV-50115,PROD-6277,2,307.5,0.0,615.0
LI-100324,INV-50115,PROD-6077,2,444.08,5.0,883.16
LI-100325,INV-50116,PROD-6257,1,105.26,0.0,105.26
LI-100326,INV-50116,PROD-6026,1,121.29,0.0,121.29
LI-100327,INV-50116,PROD-6235,1,364.39,0.0,364.39
LI-100328,INV-50116,PROD-6206,1,379.78,0.0,379.78
LI-100329,INV-50117,PROD-6203,2,220.69,25.0,416.37
LI-100330,INV-50118,PROD-6148,3,192.96,0.0,578.87
LI-100331,INV-50118,PROD-6019,47,241.8,0.0,11364.72
LI-100332,INV-50118,PROD-6123,1,246.99,0.0,246.99
LI-100333,INV-50119,PROD-6098,1,22.22,0.0,22.22
LI-100334,INV-50119,PROD-6249,3,281.72,0.0,845.15
LI-100335,INV-50119,PROD-6219,1,367.97,5.0,362.97
LI-100336,INV-50120,PROD-6182,2,402.73,25.0,780.47
LI-100337,INV-50121,PROD-6142,1,147.06,25.0,122.06
LI-100338,INV-50121,PROD-6164,1,286.75,0.0,286.75
LI-100339,INV-50121,PROD-6188,2,222.05,5.0,439.1
LI-100340,INV-50121,PROD-6166,3,84.7,0.0,254.11
LI-100341,INV-50121,PROD-6001,3,451.83,0.0,1355.48
LI-100342,INV-50122,PROD-6064,1,277.5,0.0,277.5
LI-100343,INV-50123,PROD-6173,1,361.8,0.0,361.8
LI-100344,INV-50123,PROD-6101,1,299.4,0.0,299.4
LI-100345,INV-50124,PROD-6237,2,210.88,25.0,396.76
LI-100346,INV-50124,PROD-6217,2,426.2,10.0,842.4
LI-100347,INV-50124,PROD-6045,2,389.03,0.0,778.06
LI-100348,INV-50124,PROD-6029,1,466.5,0.0,466.5
LI-100349,INV-50125,PROD-6207,1,270.15,0.0,270.15
LI-100350,INV-50126,PROD-6236,2,274.32,0.0,548.65
LI-100351,INV-50126,PROD-6013,2,454.22,0.0,908.45
LI-100352,INV-50126,PROD-6177,3,211.22,25.0,608.65
LI-100353,INV-50127,PROD-6006,1,60.7,5.0,55.7
LI-100354,INV-50127,PROD-6096,2,75.63,0.0,151.26
LI-100355,INV-50127,PROD-6215,2,465.86,10.0,921.72
LI-100356,INV-50127,PROD-6049,2,208.97,5.0,412.94
LI-100357,INV-50128,PROD-6021,20,240.52,0.0,4810.45
LI-100358,INV-50128,PROD-6052,3,452.68,0.0,1358.05
LI-100359,INV-50128,PROD-6252,3,41.99,0.0,125.98
LI-100360,INV-50128,PROD-6275,2,327.17,10.0,644.34
LI-100361,INV-50128,PROD-6032,3,458.03,0.0,1374.09
LI-100362,INV-50129,PROD-6021,10,47.68,0.0,476.79
LI-100363,INV-50130,PROD-6097,2,94.18,25.0,163.35
LI-100364,INV-50130,PROD-6132,1,240.6,0.0,240.6
LI-100365,INV-50130,PROD-6242,3,345.01,0.0,1035.03
LI-100366,INV-50130,PROD-6068,2,260.7,0.0,521.41
LI-100367,INV-50131,PROD-6237,1,160.99,0.0,160.99
LI-100368,INV-50131,PROD-6032,3,31.02,0.0,93.05
LI-100369,INV-50131,PROD-6095,1,472.19,0.0,472.19
LI-100370,INV-50131,PROD-6148,3,32.5,0.0,97.5
LI-100371,INV-50131,PROD-6042,1,78.72,10.0,68.72
LI-100372,INV-50132,PROD-6101,3,248.12,0.0,744.36
LI-100373,INV-50132,PROD-6060,2,172.2,10.0,334.4
LI-100374,INV-50133,PROD-6065,3,185.75,0.0,557.26
LI-100375,INV-50133,PROD-6279,1,43.46,10.0,33.46
LI-100376,INV-50134,PROD-6051,1,420.68,10.0,410.68
LI-100377,INV-50134,PROD-6256,2,25.42,0.0,50.84
LI-100378,INV-50135,PROD-6218,1,43.98,5.0,38.98
LI-100379,INV-50135,PROD-6028,1,387.28,0.0,387.28
LI-100380,INV-50135,PROD-6213,1,316.6,0.0,316.6
LI-100381,INV-50135,PROD-6050,1,202.75,0.0,202.75
LI-100382,INV-50135,PROD-6249,2,305.6,0.0,611.21
LI-100383,INV-50136,PROD-6044,1,190.55,0.0,190.55
LI-100384,INV-50136,PROD-6003,3,111.9,10.0,325.71
LI-100385,INV-50136,PROD-6181,3,494.79,25.0,1459.37
LI-100386,INV-50137,PROD-6220,1,257.1,0.0,257.1
LI-100387,INV-50137,PROD-6017,28,237.32,0.0,6644.82
LI-100388,INV-50138,PROD-6112,3,109.95,0.0,329.85
LI-100389,INV-50138,PROD-6001,1,461.67,5.0,456.67
LI-100390,INV-50138,PROD-6076,2,58.95,5.0,112.91
LI-100391,INV-50138,PROD-6028,2,225.67,0.0,451.34
LI-100392,INV-50138,PROD-6002,2,107.84,0.0,215.67
LI-100393,INV-50139,PROD-6038,1,232.5,5.0,227.5
LI-100394,INV-50139,PROD-6174,1,332.28,25.0,307.28
LI-100395,INV-50140,PROD-6048,2,76.67,0.0,153.35
LI-100396,INV-50140,PROD-6151,2,185.33,0.0,370.66
LI-100397,INV-50140,PROD-6002,3,332.89,10.0,988.68
LI-100398,INV-50140,PROD-6208,3,63.49,0.0,190.47
LI-100399,INV-50140,PROD-6274,3,374.54,0.0,1123.61
LI-100400,INV-50141,PROD-6142,2,200.75,0.0,401.5
LI-100401,INV-50141,PROD-6062,1,434.43,10.0,424.43
LI-100402,INV-50141,PROD-6017,20,102.97,5.0,2054.39
LI-100403,INV-50141,PROD-6188,3,103.63,0.0,310.9
LI-100404,INV-50141,PROD-6041,1,263.7,0.0,263.7
LI-100405,INV-50142,PROD-6007,3,48.66,10.0,135.99
LI-100406,INV-50142,PROD-6271,1,101.02,25.0,76.02
LI-100407,INV-50142,PROD-6239,1,286.73,5.0,281.73
LI-100408,INV-50142,PROD-6257,2,270.63,0.0,541.26
LI-100409,INV-50143,PROD-6196,2,153.15,5.0,301.3
LI-100410,INV-50143,PROD-6211,1,156.02,10.0,146.02
LI-100411,INV-50144,PROD-6047,3,467.66,0.0,1402.97
LI-100412,INV-50144,PROD-6276,1,198.0,0.0,198.0
LI-100413,INV-50144,PROD-6064,2,492.71,0.0,985.42
LI-100414,INV-50144,PROD-6166,2,461.68,0.0,923.36
LI-100415,INV-50144,PROD-6094,2,447.86,25.0,870.72
LI-100416,INV-50145,PROD-6120,2,400.12,0.0,800.25
LI-100417,INV-50146,PROD-6269,3,219.46,0.0,658.37
LI-100418,INV-50146,PROD-6278,2,499.46,5.0,993.92
LI-100419,INV-50146,PROD-6263,3,102.27,0.0,306.8
