invoice_acct_id,date,account,description,amount,type,department,vendor,payment_method
ACT-10062,2024-09-28,Payroll,Employee Wages,11626.21,Debit,Admin,ADP Services,ACH
ACT-10063,2024-10-01,Rent Expense,Monthly Store Lease,3000.0,Debit,Operations,RealEstate Holdings,ACH
ACT-10064,2024-10-15,Payroll,Employee Wages,12785.03,Debit,Admin,ADP Services,ACH
ACT-10065,2024-10-28,Payroll,Employee Wages,11609.47,Debit,Admin,ADP Services,ACH
ACT-10066,2024-11-01,Rent Expense,Monthly Store Lease,3000.0,Debit,Operations,RealEstate Holdings,ACH
ACT-10067,2024-11-15,Payroll,Employee Wages,12306.09,Debit,Admin,ADP Services,ACH
ACT-10068,2024-11-28,Payroll,Employee Wages,12499.43,Debit,Admin,ADP Services,ACH
ACT-10069,2024-12-01,Rent Expense,Monthly Store Lease,3000.0,Debit,Operations,RealEstate Holdings,ACH
ACT-10070,2024-12-15,Payroll,Employee Wages,11763.17,Debit,Admin,ADP Services,ACH
ACT-10071,2024-12-28,Payroll,Employee Wages,12559.11,Debit,Admin,ADP Services,ACH
ACT-10072,2025-01-01,Rent Expense,Monthly Store Lease,3000.0,Debit,Operations,RealEstate Holdings,ACH
ACT-10073,2025-01-15,Payroll,Employee Wages,12325.83,Debit,Admin,ADP Services,ACH
ACT-10074,2025-01-28,Payroll,Employee Wages,11516.25,Debit,Admin,ADP Services,ACH
ACT-10075,2025-02-01,Rent Expense,Monthly Store Lease,3000.0,Debit,Operations,RealEstate Holdings,ACH
ACT-10076,2025-02-15,Payroll,Employee Wages,11500.3,Debit,Admin,ADP Services,ACH
ACT-10077,2025-02-28,Payroll,Employee Wages,11399.61,Debit,Admin,ADP Services,ACH
ACT-10078,2025-03-01,Rent Expense,Monthly Store Lease,3000.0,Debit,Operations,RealEstate Holdings,ACH
ACT-10079,2025-03-15,Payroll,Employee Wages,12985.06,Debit,Admin,ADP Services,ACH
ACT-10080,2025-03-28,Payroll,Employee Wages,12896.66,Debit,Admin,ADP Services,ACH
ACT-10081,2025-04-01,Rent Expense,Monthly Store Lease,3000.0,Debit,Operations,RealEstate Holdings,ACH
ACT-10082,2025-04-15,Payroll,Employee Wages,12014.76,Debit,Admin,ADP Services,ACH
ACT-10083,2025-04-28,Payroll,Employee Wages,12847.96,Debit,Admin,ADP Services,ACH
ACT-10084,2025-05-01,Rent Expense,Monthly Store Lease,3000.0,Debit,Operations,RealEstate Holdings,ACH
ACT-10085,2025-05-15,Payroll,Employee Wages,11655.68,Debit,Admin,ADP Services,ACH
ACT-10086,2025-05-28,Payroll,Employee Wages,11808.75,Debit,Admin,ADP Services,ACH
ACT-10087,2025-06-01,Rent Expense,Monthly Store Lease,3000.0,Debit,Operations,RealEstate Holdings,ACH
ACT-10088,2025-06-15,Payroll,Employee Wages,12377.28,Debit,Admin,ADP Services,ACH
ACT-10089,2025-06-28,Payroll,Employee Wages,11413.42,Debit,Admin,ADP Services,ACH
ACT-10090,2025-07-01,Rent Expense,Monthly Store Lease,3000.0,Debit,Operations,RealEstate Holdings,ACH
ACT-10091,2025-07-15,Payroll,Employee Wages,12639.9,Debit,Admin,ADP Services,ACH
ACT-10092,2025-07-28,Payroll,Employee Wages,11613.54,Debit,Admin,ADP Services,ACH
ACT-10093,2025-08-01,Rent Expense,Monthly Store Lease,3000.0,Debit,Operations,RealEstate Holdings,ACH
ACT-10094,2025-08-15,Payroll,Employee Wages,12224.92,Debit,Admin,ADP Services,ACH
ACT-10095,2025-08-28,Payroll,Employee Wages,11472.58,Debit,Admin,ADP Services,ACH
ACT-10096,2025-09-01,Rent Expense,Monthly Store Lease,3000.0,Debit,Operations,RealEstate Holdings,ACH
ACT-10097,2025-09-15,Payroll,Employee Wages,12939.72,Debit,Admin,ADP Services,ACH
ACT-10098,2025-09-28,Payroll,Employee Wages,11645.02,Debit,Admin,ADP Services,ACH
ACT-10099,2025-10-01,Rent Expense,Monthly Store Lease,3000.0,Debit,Operations,RealEstate Holdings,ACH
ACT-10100,2025-10-15,Payroll,Employee Wages,12609.1,Debit,Admin,ADP Services,ACH
ACT-10101,2025-10-28,Payroll,Employee Wages,12877.57,Debit,Admin,ADP Services,ACH
ACT-10102,2025-11-01,Rent Expense,Monthly Store Lease,3000.0,Debit,Operations,RealEstate Holdings,ACH
ACT-10103,2025-11-15,Payroll,Employee Wages,11773.49,Debit,Admin,ADP Services,ACH
ACT-10104,2025-11-28,Payroll,Employee Wages,12922.52,Debit,Admin,ADP Services,ACH
ACT-10105,2025-12-01,Rent Expense,Monthly Store Lease,3000.0,Debit,Operations,RealEstate Holdings,ACH
ACT-10106,2025-12-15,Payroll,Employee Wages,12454.89,Debit,Admin,ADP Services,ACH
ACT-10107,2025-12-28,Payroll,Employee Wages,11667.15,Debit,Admin,ADP Services,ACH
ACT-10108,2023-04-10,Marketing,Ad Campaign - Seasonal Spike,3097.43,Debit,Marketing,Google/Meta Ads,Credit Card
ACT-10109,2023-04-16,Marketing,Ad Campaign - Seasonal Spike,3068.98,Debit,Marketing,Google/Meta Ads,Credit Card
ACT-10110,2023-04-02,Marketing,Ad Campaign - Seasonal Spike,3430.37,Debit,Marketing,Google/Meta Ads,Credit Card
ACT-10111,2023-04-17,Marketing,Ad Campaign - Seasonal Spike,2328.11,Debit,Marketing,Google/Meta Ads,Credit Card
ACT-10112,2023-04-16,Marketing,Ad Campaign - Seasonal Spike,2586.51,Debit,Marketing,Google/Meta Ads,Credit Card
ACT-10113,2023-04-12,Marketing,Ad Campaign - Seasonal Spike,3221.95,Debit,Marketing,Google/Meta Ads,Credit Card
ACT-10114,2023-04-14,Marketing,Ad Campaign - Seasonal Spike,2706.28,Debit,Marketing,Google/Meta Ads,Credit Card
ACT-10115,2023-04-22,Marketing,Ad Campaign - Seasonal Spike,2433.16,Debit,Marketing,Google/Meta Ads,Credit Card
ACT-10116,2023-10-20,Marketing,Ad Campaign - Seasonal Spike,3184.05,Debit,Marketing,Google/Meta Ads,Credit Card
ACT-10117,2023-10-26,Marketing,Ad Campaign - Seasonal Spike,2419.87,Debit,Marketing,Google/Meta Ads,Credit Card
ACT-10118,2023-10-24,Marketing,Ad Campaign - Seasonal Spike,2938.5,Debit,Marketing,Google/Meta Ads,Credit Card
ACT-10119,2023-10-04,Marketing,Ad Campaign - Seasonal Spike,2913.81,Debit,Marketing,Google/Meta Ads,Credit Card
ACT-10120,2023-10-12,Marketing,Ad Campaign - Seasonal Spike,2737.99,Debit,Marketing,Google/Meta Ads,Credit Card
ACT-10121,2023-10-10,Marketing,Ad Campaign - Seasonal Spike,3475.79,Debit,Marketing,Google/Meta Ads,Credit Card
ACT-10122,2023-10-23,Marketing,Ad Campaign - Seasonal Spike,3605.35,Debit,Marketing,Google/Meta Ads,Credit Card
ACT-10123,2023-10-13,Marketing,Ad Campaign - Seasonal Spike,2910.02,Debit,Marketing,Google/Meta Ads,Credit Card
ACT-10124,2024-04-27,Marketing,Ad Campaign - Seasonal Spike,3239.49,Debit,Marketing,Google/Meta Ads,Credit Card
ACT-10125,2024-04-10,Marketing,Ad Campaign - Seasonal Spike,2403.6,Debit,Marketing,Google/Meta Ads,Credit Card
ACT-10126,2024-04-21,Marketing,Ad Campaign - Seasonal Spike,2204.07,Debit,Marketing,Google/Meta Ads,Credit Card
ACT-10127,2024-04-09,Marketing,Ad Campaign - Seasonal Spike,3360.86,Debit,Marketing,Google/Meta Ads,Credit Card
ACT-10128,2024-04-21,Marketing,Ad Campaign - Seasonal Spike,2146.38,Debit,Marketing,Google/Meta Ads,Credit Card
ACT-10129,2024-04-10,Marketing,Ad Campaign - Seasonal Spike,2120.88,Debit,Marketing,Google/Meta Ads,Credit Card
ACT-10130,2024-04-15,Marketing,Ad Campaign - Seasonal Spike,2791.96,Debit,Marketing,Google/Meta Ads,Credit Card
ACT-10131,2024-04-11,Marketing,Ad Campaign - Seasonal Spike,2421.62,Debit,Marketing,Google/Meta Ads,Credit Card
ACT-10132,2024-10-06,Marketing,Ad Campaign - Seasonal Spike,3374.21,Debit,Marketing,Google/Meta Ads,Credit Card
ACT-10133,2024-10-18,Marketing,Ad Campaign - Seasonal Spike,2384.67,Debit,Marketing,Google/Meta Ads,Credit Card
ACT-10134,2024-10-02,Marketing,Ad Campaign - Seasonal Spike,2263.5,Debit,Marketing,Google/Meta Ads,Credit Card
ACT-10135,2024-10-06,Marketing,Ad Campaign - Seasonal Spike,2408.59,Debit,Marketing,Google/Meta Ads,Credit Card
ACT-10136,2024-10-25,Marketing,Ad Campaign - Seasonal Spike,3225.96,Debit,Marketing,Google/Meta Ads,Credit Card
ACT-10137,2024-10-27,Marketing,Ad Campaign - Seasonal Spike,2049.48,Debit,Marketing,Google/Meta Ads,Credit Card
ACT-10138,2024-10-16,Marketing,Ad Campaign - Seasonal Spike,3365.63,Debit,Marketing,Google/Meta Ads,Credit Card
ACT-10139,2024-10-05,Marketing,Ad Campaign - Seasonal Spike,2042.4,Debit,Marketing,Google/Meta Ads,Credit Card
ACT-10140,2025-04-28,Marketing,Ad Campaign - Seasonal Spike,2919.68,Debit,Marketing,Google/Meta Ads,Credit Card
ACT-10141,2025-04-07,Marketing,Ad Campaign - Seasonal Spike,2754.44,Debit,Marketing,Google/Meta Ads,Credit Card
ACT-10142,2025-04-10,Marketing,Ad Campaign - Seasonal Spike,2551.15,Debit,Marketing,Google/Meta Ads,Credit Card
ACT-10143,2025-04-22,Marketing,Ad Campaign - Seasonal Spike,2505.75,Debit,Marketing,Google/Meta Ads,Credit Card
ACT-10144,2025-04-02,Marketing,Ad Campaign - Seasonal Spike,3324.42,Debit,Marketing,Google/Meta Ads,Credit Card
ACT-10145,2025-04-12,Marketing,Ad Campaign - Seasonal Spike,3024.69,Debit,Marketing,Google/Meta Ads,Credit Card
ACT-10146,2025-04-17,Marketing,Ad Campaign - Seasonal Spike,3720.02,Debit,Marketing,Google/Meta Ads,Credit Card
ACT-10147,2025-04-20,Marketing,Ad Campaign - Seasonal Spike,3125.13,Debit,Marketing,Google/Meta Ads,Credit Card
ACT-10148,2025-10-02,Marketing,Ad Campaign - Seasonal Spike,3266.63,Debit,Marketing,Google/Meta Ads,Credit Card
ACT-10149,2025-10-25,Marketing,Ad Campaign - Seasonal Spike,3467.09,Debit,Marketing,Google/Meta Ads,Credit Card
ACT-10150,2025-10-14,Marketing,Ad Campaign - Seasonal Spike,2569.69,Debit,Marketing,Google/Meta Ads,Credit Card
ACT-10151,2025-10-03,Marketing,Ad Campaign - Seasonal Spike,3372.68,Debit,Marketing,Google/Meta Ads,Credit Card
ACT-10152,2025-10-07,Marketing,Ad Campaign - Seasonal Spike,3079.03,Debit,Marketing,Google/Meta Ads,Credit Card
ACT-10153,2025-10-26,Marketing,Ad Campaign - Seasonal Spike,3471.47,Debit,Marketing,Google/Meta Ads,Credit Card
ACT-10154,2025-10-13,Marketing,Ad Campaign - Seasonal Spike,3385.92,Debit,Marketing,Google/Meta Ads,Credit Card
ACT-10155,2025-10-21,Marketing,Ad Campaign - Seasonal Spike,3315.81,Debit,Marketing,Google/Meta Ads,Credit Card
ACT-10156,2025-05-07,Revenue,Daily Sales Deposit,2871.62,Credit,Sales,Customer Payments,Check
ACT-10157,2024-11-07,Revenue,Daily Sales Deposit,4168.02,Credit,Sales,Customer Payments,ACH
ACT-10158,2024-11-24,Revenue,Daily Sales Deposit,2326.58,Credit,Sales,Customer Payments,ACH
ACT-10159,2024-11-24,Revenue,Daily Sales Deposit,2326.58,Credit,Sales,Customer Payments,ACH
ACT-10160,2025-06-20,Revenue,Daily Sales Deposit,6019.0,Credit,Sales,Customer Payments,Check
ACT-10161,2024-10-20,Revenue,Daily Sales Deposit,3223.74,Credit,Sales,Customer Payments,Credit Card
ACT-10162,2023-09-30,Inventory Purchase,General Inventory Purchase entry,108.82,Debit,Sales,Various Wholesale,Credit Card
ACT-10163,2023-08-02,Revenue,Daily Sales Deposit,5973.04,Credit,Sales,Customer Payments,Credit Card
ACT-10164,2023-08-29,Inventory Purchase,General Inventory Purchase entry,1734.87,Debit,Sales,Various Wholesale,Credit Card
ACT-10165,2023-07-02,Revenue,Daily Sales Deposit,1274.66,Credit,Sales,Customer Payments,Credit Card
ACT-10166,2023-08-08,Revenue,Daily Sales Deposit,4214.83,Credit,Sales,Customer Payments,ACH
ACT-10167,2024-12-07,Office Supplies,General Office Supplies entry,1132.86,Debit,Sales,Staples Business,Credit Card
ACT-10168,2023-08-06,Inventory Purchase,General Inventory Purchase entry,697.7,Debit,Marketing,Various Wholesale,Check
ACT-10169,2024-10-15,Office Supplies,General Office Supplies entry,1979.42,Debit,Marketing,Staples Business,ACH
ACT-10170,2023-04-11,Utilities,General Utilities entry,694.5,Debit,Sales,City Power & Water,ACH
ACT-10171,2023-08-14,Inventory Purchase,General Inventory Purchase entry,204.82,Debit,Operations,Various Wholesale,Credit Card
ACT-10172,2024-11-29,Revenue,Daily Sales Deposit,2075.5,Credit,Sales,Customer Payments,Credit Card
ACT-10173,2023-12-15,Utilities,General Utilities entry,175.78,Debit,Admin,City Power & Water,ACH
ACT-10174,2023-09-11,Revenue,Daily Sales Deposit,1906.81,Credit,Sales,Customer Payments,ACH
ACT-10175,2025-07-28,Inventory Purchase,General Inventory Purchase entry,233.29,Debit,Warehouse,Various Wholesale,Check
ACT-10176,2025-10-03,Revenue,Daily Sales Deposit,2338.18,Credit,Sales,Customer Payments,ACH
ACT-10177,2023-10-05,Office Supplies,General Office Supplies entry,1931.44,Debit,Operations,Staples Business,Credit Card
ACT-10178,2025-08-22,Office Supplies,General Office Supplies entry,694.73,Debit,Sales,Staples Business,Check
ACT-10179,2024-10-08,Office Supplies,General Office Supplies entry,1212.98,Debit,Admin,Staples Business,ACH
ACT-10180,2023-07-16,Revenue,Daily Sales Deposit,1264.88,Credit,Sales,Customer Payments,Credit Card
ACT-10181,2023-12-14,Utilities,General Utilities entry,541.37,Debit,Warehouse,City Power & Water,ACH
ACT-10182,2025-11-09,Inventory Purchase,General Inventory Purchase entry,763.92,Debit,Warehouse,Various Wholesale,ACH
ACT-10183,2025-04-30,Revenue,Daily Sales Deposit,5403.8,Credit,Sales,Customer Payments,Credit Card
ACT-10184,2024-03-25,Revenue,Daily Sales Deposit,6040.28,Credit,Sales,Customer Payments,Credit Card
ACT-10185,2023-07-13,Utilities,General Utilities entry,491.57,Debit,Warehouse,City Power & Water,Check
ACT-10186,2023-12-26,Office Supplies,General Office Supplies entry,1456.67,Debit,Admin,Staples Business,Check
ACT-10187,2024-04-02,Revenue,Daily Sales Deposit,3796.57,Credit,Sales,Customer Payments,Credit Card
ACT-10188,2023-10-02,Inventory Purchase,General Inventory Purchase entry,645.46,Debit,Marketing,Various Wholesale,Credit Card
ACT-10189,2025-08-27,Revenue,Daily Sales Deposit,1391.08,Credit,Sales,Customer Payments,ACH
ACT-10190,2023-05-20,Revenue,Daily Sales Deposit,3842.84,Credit,Sales,Customer Payments,ACH
ACT-10191,2023-05-18,Revenue,Daily Sales Deposit,5305.62,Credit,Sales,Customer Payments,Credit Card
ACT-10192,2023-07-30,Utilities,General Utilities entry,513.76,Debit,Warehouse,City Power & Water,ACH
ACT-10193,2023-10-09,Inventory Purchase,General Inventory Purchase entry,1695.6,Debit,Operations,Various Wholesale,Check
ACT-10194,2024-10-02,Revenue,Daily Sales Deposit,5022.82,Credit,Sales,Customer Payments,ACH
ACT-10195,2024-09-05,Inventory Purchase,General Inventory Purchase entry,1284.12,Debit,Sales,Various Wholesale,Check
ACT-10196,2024-05-24,Revenue,Daily Sales Deposit,5192.7,Credit,Sales,Customer Payments,ACH
ACT-10197,2025-07-16,Inventory Purchase,General Inventory Purchase entry,1063.98,Debit,Marketing,Various Wholesale,Credit Card
ACT-10198,2024-02-10,Office Supplies,General Office Supplies entry,1819.78,Debit,Admin,Staples Business,Credit Card
ACT-10199,2023-08-14,Inventory Purchase,General Inventory Purchase entry,1567.37,Debit,Sales,Various Wholesale,Check
ACT-10200,2024-12-05,Revenue,Daily Sales Deposit,3769.14,Credit,Sales,Customer Payments,ACH
ACT-10201,2025-05-23,Office Supplies,General Office Supplies entry,1767.7,Debit,Marketing,Staples Business,ACH
ACT-10202,2024-11-03,Revenue,Daily Sales Deposit,1523.53,Credit,Sales,Customer Payments,ACH
ACT-10203,2025-07-04,Inventory Purchase,General Inventory Purchase entry,1706.65,Debit,Warehouse,Various Wholesale,Credit Card
ACT-10204,2025-10-11,Utilities,General Utilities entry,1592.7,Debit,Sales,City Power & Water,Check
ACT-10205,2024-01-22,Office Supplies,General Office Supplies entry,630.24,Debit,Operations,Staples Business,Check
ACT-10206,2024-04-18,Inventory Purchase,General Inventory Purchase entry,633.08,Debit,Operations,Various Wholesale,Check
ACT-10207,2023-12-12,Office Supplies,General Office Supplies entry,716.06,Debit,Marketing,Staples Business,Credit Card
ACT-10208,2024-10-22,Utilities,General Utilities entry,1263.34,Debit,Marketing,City Power & Water,ACH
ACT-10209,2024-07-16,Revenue,Daily Sales Deposit,6161.66,Credit,Sales,Customer Payments,Check
ACT-10210,2023-11-18,Office Supplies,General Office Supplies entry,1210.06,Debit,Warehouse,Staples Business,Check
ACT-10211,2025-08-03,Utilities,General Utilities entry,1975.59,Debit,Operations,City Power & Water,Check
ACT-10212,2023-02-11,Revenue,Daily Sales Deposit,4827.74,Credit,Sales,Customer Payments,Check
ACT-10213,2024-02-06,Utilities,General Utilities entry,1798.88,Debit,Operations,City Power & Water,ACH
ACT-10214,2024-03-14,Utilities,General Utilities entry,1786.1,Debit,Marketing,City Power & Water,ACH
ACT-10215,2023-12-17,Office Supplies,General Office Supplies entry,1623.67,Debit,Admin,Staples Business,Credit Card
ACT-10216,2023-09-11,Inventory Purchase,General Inventory Purchase entry,814.32,Debit,Warehouse,Various Wholesale,ACH
ACT-10217,2023-03-28,Revenue,Daily Sales Deposit,3710.54,Credit,Sales,Customer Payments,ACH
ACT-10218,2024-09-26,Office Supplies,General Office Supplies entry,197.0,Debit,Admin,Staples Business,Credit Card
ACT-10219,2024-04-13,Revenue,Daily Sales Deposit,3098.26,Credit,Sales,Customer Payments,Check
ACT-10220,2025-06-08,Utilities,General Utilities entry,595.1,Debit,Sales,City Power & Water,Check
ACT-10221,2025-09-02,Utilities,General Utilities entry,245.67,Debit,Warehouse,City Power & Water,Credit Card
ACT-10222,2023-12-26,Utilities,General Utilities entry,1767.16,Debit,Operations,City Power & Water,Check
ACT-10223,2024-09-23,Revenue,Daily Sales Deposit,1839.66,Credit,Sales,Customer Payments,Credit Card
ACT-10224,2024-05-24,Inventory Purchase,General Inventory Purchase entry,967.86,Debit,Operations,Various Wholesale,Credit Card
ACT-10225,2023-12-03,Utilities,General Utilities entry,944.62,Debit,Operations,City Power & Water,ACH
ACT-10226,2024-11-24,Revenue,Daily Sales Deposit,4005.32,Credit,Sales,Customer Payments,ACH
ACT-10227,2025-06-04,Revenue,Daily Sales Deposit,3483.4,Credit,Sales,Customer Payments,Check
ACT-10228,2023-02-25,Utilities,General Utilities entry,1090.13,Debit,Warehouse,City Power & Water,Credit Card
ACT-10229,2025-05-01,Revenue,Daily Sales Deposit,3778.01,Credit,Sales,Customer Payments,ACH
ACT-10230,2025-11-22,Inventory Purchase,General Inventory Purchase entry,1625.39,Debit,Sales,Various Wholesale,Credit Card
ACT-10231,2025-02-11,Inventory Purchase,General Inventory Purchase entry,1653.38,Debit,Operations,Various Wholesale,Check
ACT-10232,2023-07-18,Inventory Purchase,General Inventory Purchase entry,752.66,Debit,Operations,Various Wholesale,ACH
ACT-10233,2024-03-03,Utilities,General Utilities entry,273.7,Debit,Warehouse,City Power & Water,Credit Card
ACT-10234,2023-05-23,Utilities,General Utilities entry,659.84,Debit,Sales,City Power & Water,Check
ACT-10235,2024-01-29,Utilities,General Utilities entry,536.18,Debit,Admin,City Power & Water,ACH
ACT-10236,2025-05-28,Revenue,Daily Sales Deposit,1463.52,Credit,Sales,Customer Payments,ACH
ACT-10237,2024-05-20,Inventory Purchase,General Inventory Purchase entry,1396.25,Debit,Marketing,Various Wholesale,Check
ACT-10238,2024-01-30,Office Supplies,General Office Supplies entry,422.24,Debit,Warehouse,Staples Business,Credit Card
ACT-10239,2023-07-03,Office Supplies,General Office Supplies entry,898.2,Debit,Admin,Staples Business,Check
ACT-10240,2023-07-27,Inventory Purchase,General Inventory Purchase entry,1284.61,Debit,Marketing,Various Wholesale,Credit Card
ACT-10241,2024-02-17,Office Supplies,General Office Supplies entry,314.0,Debit,Marketing,Staples Business,Check
ACT-10242,2025-10-15,Revenue,Daily Sales Deposit,1993.92,Credit,Sales,Customer Payments,Check
ACT-10243,2023-08-11,Office Supplies,General Office Supplies entry,1274.79,Debit,Sales,Staples Business,ACH
ACT-10244,2025-02-03,Office Supplies,General Office Supplies entry,1780.36,Debit,Sales,Staples Business,Check
ACT-10245,2024-12-03,Office Supplies,General Office Supplies entry,581.23,Debit,Warehouse,Staples Business,Credit Card
ACT-10246,2023-02-17,Inventory Purchase,General Inventory Purchase entry,824.91,Debit,Admin,Various Wholesale,ACH
ACT-10247,2025-09-01,Inventory Purchase,General Inventory Purchase entry,639.54,Debit,Sales,Various Wholesale,Credit Card
ACT-10248,2024-10-19,Office Supplies,General Office Supplies entry,939.54,Debit,Admin,Staples Business,Check
